# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:43 BST 2015 [seed=1430143302237]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep3.treeLikelihood	CP2.Flu_Rep3.treeLikelihood	CP3.Flu_Rep3.treeLikelihood	skyline
0	-7125.902857558367	-134.60664655264537	-6991.2962110057215	65.7458346475388	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1721.658592333459	-1553.4299867490072	-3716.207631923256	-108.69651337927596
1000	-5204.578173541345	-149.38666138898353	-5055.191512152362	47.55058452995656	242.75870205174832	71.26351024774524	315.8640618217292	78.76628944886798	115.06242355526526	2.0	1.0	5.0	9.0	3.0	4.603807820370251	0.7688470608324262	0.5341942483840643	1.6969586907835097	4.932010119341652E-4	-1370.7354647382792	-1286.7725441112593	-2397.6835033028224	-116.05138827350461
2000	-4568.161177765997	-147.68360245920266	-4420.477575306794	68.52585228530391	251.99686556588583	155.37673058410581	193.1555953263276	136.34531466172044	36.73650800784565	2.0	3.0	1.0	12.0	2.0	8.606434469582155	0.7688470608324262	0.5341942483840643	1.6969586907835097	3.983968103956235E-4	-1250.3712934770622	-1205.6173153811696	-1964.4889664485625	-116.41267331980042
3000	-4544.283443632793	-157.153379261469	-4387.130064371324	126.4911368721484	243.61105636771464	816.5972093875204	124.71129909581225	124.54991859453654	88.26921643636696	2.0	3.0	6.0	8.0	1.0	8.982181848222686	0.5765021418800216	0.5501605494504476	1.873337308669531	2.1378945902670026E-4	-1243.9734136416048	-1197.233240382317	-1945.9234103474016	-122.39895123394322
4000	-4541.373811405791	-160.06750963784944	-4381.3063017679415	138.94409255850894	283.7351166691392	791.6805654734055	192.5067909816504	144.1566095045203	85.4074670010315	1.0	5.0	5.0	5.0	4.0	8.035906848603444	0.6091411994854439	0.5535838699677451	1.837274930546811	1.6646887581570253E-4	-1236.0351214370044	-1196.7120434324902	-1948.559136898447	-125.407643485825
5000	-4538.041316866991	-155.10366885851053	-4382.93764800848	106.61898655798315	174.28430149787948	379.4080774538572	178.36588968098943	95.6290650474561	43.97754464424755	2.0	5.0	3.0	7.0	3.0	9.104361778198525	0.6356291066417212	0.5955532496151011	1.7688176437431775	2.2339806516435384E-4	-1236.9549973930239	-1195.987916309603	-1949.9947343058534	-123.24753166153012
6000	-4537.573248854794	-154.41593910333302	-4383.157309751461	110.41888138731345	139.8718023139193	357.57972170301105	79.60401385778835	73.12740030139376	90.81389534128292	1.0	12.0	1.0	1.0	5.0	8.401225522792052	0.6213056132228861	0.6357371545592294	1.7429572322178843	2.464281393020815E-4	-1238.357759425217	-1195.9656576474472	-1948.8338926787974	-122.91788388892314
7000	-4547.80609266273	-162.01987388813967	-4385.78621877459	139.81818735304032	95.87117195970579	287.49878791676633	114.3259117926237	85.9310951549447	214.78513578994483	1.0	13.0	1.0	3.0	2.0	8.382224730487142	0.6425673803575263	0.4412846362970391	1.9161479833454345	1.863613240082631E-4	-1243.3506275408959	-1197.2784765599272	-1945.1571146737676	-129.26633494496505
8000	-4548.40891659803	-164.67807808901964	-4383.730838509011	159.30308452462936	56.654407057518455	211.76601028595465	168.75556091906844	146.56474714037975	142.49324875897014	1.0	10.0	3.0	1.0	5.0	10.134709568597405	0.5646421326572837	0.5694457522122651	1.865912115130451	1.7769155723294265E-4	-1239.6840738013184	-1198.7726597012274	-1945.2741050064653	-132.44129593810152
9000	-4548.453375361388	-158.33555984083154	-4390.117815520556	109.2875183649681	102.82049035279073	287.4980067799862	205.09740724359017	107.76739903096882	259.12276455717534	1.0	10.0	1.0	4.0	4.0	8.89346760468926	0.5960285380763987	0.5329523222275107	1.8710191396960905	2.2284980954227128E-4	-1243.01306887128	-1194.2492574449325	-1952.855489204344	-124.78018589502723
10000	-4565.532645142122	-179.5170949558183	-4386.015550186304	240.47586792774757	172.15423532582096	466.59043961228366	210.5611412722225	260.2953417196294	172.43329987350518	1.0	15.0	1.0	1.0	2.0	8.033716062191674	0.7037685738128645	0.49492205594908456	1.8013093702380505	1.0551168390480455E-4	-1237.8711081104173	-1193.5630204400277	-1954.5814216358583	-145.01938954792053
11000	-4548.7542020919345	-159.647833220368	-4389.106368871567	109.88747477368806	317.9458648880887	635.2439814560397	284.7536564160771	284.017027218406	81.5447445961264	1.0	7.0	2.0	3.0	7.0	6.576579509930657	0.6947817336518513	0.5574996502828493	1.7477186160652989	2.092925900584275E-4	-1238.8991956194166	-1188.5664067638788	-1961.640766488271	-124.75514169381718
12000	-4554.539513428852	-171.50317323011066	-4383.0363401987415	178.64090010651117	576.2593835709638	1261.446443637607	297.2090090517789	163.60079457736236	208.4163233215574	1.0	4.0	2.0	5.0	8.0	6.961945204592345	0.5489689132974063	0.5574996502828493	1.8935314364197438	1.1564682054821046E-4	-1238.3052906679848	-1192.6905162979403	-1952.0405332328169	-134.66869494553544
13000	-4560.709752836877	-180.8667084741987	-4379.8430443626785	240.51241443634416	976.1431453152543	1420.120058053638	482.4498678933173	192.45146440657336	133.7222100636326	6.0	1.0	2.0	6.0	5.0	9.105531258287	0.5961490831528542	0.6973624966204578	1.7064884202266875	8.29081824487159E-5	-1235.0757962602972	-1195.642491986607	-1949.124756115774	-143.30509725113774
14000	-4561.999578573633	-172.85157649282044	-4389.148002080812	196.56258564217924	1509.6698130238917	597.8376129803472	375.9616074637855	139.174490060518	200.92881393278998	4.0	3.0	1.0	11.0	1.0	5.972829196284411	0.635133175883592	0.6505289741471008	1.7143378499693065	1.1712319631735701E-4	-1242.3453657293378	-1198.743675192617	-1948.058961158857	-136.32775255862745
15000	-4544.88242463286	-163.51576718809736	-4381.366657444763	133.2065859090022	547.7532254810444	573.325386877858	171.34950988732368	150.55685136131905	118.9112290601941	2.0	4.0	2.0	1.0	11.0	8.299675619475915	0.47776460538317955	0.7038420848518987	1.8183933097649212	1.5989069726731522E-4	-1240.5439187343268	-1195.373341542881	-1945.449397167556	-129.26438332045953
