# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:43 BST 2015 [seed=1430143302254]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep7.treeLikelihood	CP2.Flu_Rep7.treeLikelihood	CP3.Flu_Rep7.treeLikelihood	skyline
0	-7543.557129980446	-128.6137894337047	-7414.943340546742	213.14299484878973	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1787.7772993238696	-1620.4660585045308	-4006.6999827183413	-102.70365626033531
1000	-4970.407156147819	-153.45069448433532	-4816.956461663483	120.3595747094001	374.21731443059866	226.4741946799648	149.8332693625289	88.3394598556668	109.73621191659605	1.0	3.0	9.0	3.0	4.0	2.241179010934952	0.3952378516453504	0.5252030569324114	2.079559091422238	3.145628719148749E-4	-1319.1280402587226	-1239.9389481415824	-2257.889473263179	-122.78209710954775
2000	-4578.063320892193	-151.8096082061342	-4426.253712686059	85.1371990387229	240.09660950614278	306.54896702222226	145.13388087899395	88.92768126280576	63.305475379885486	1.0	5.0	12.0	1.0	1.0	8.296419718005579	0.5729254514762218	0.6298023373058925	1.7972722112178854	2.8524837891022626E-4	-1258.345471514403	-1186.7457637659986	-1981.1624774056568	-120.46602146144392
3000	-4562.440410945228	-155.65943115203808	-4406.7809797931895	79.20541930031175	253.05552133317633	417.99744674797995	257.409125191527	109.79650150533394	117.37746805503328	2.0	4.0	9.0	2.0	3.0	10.1281458618038	0.5893974042604407	0.5032508448111169	1.907351750928442	2.987736401145392E-4	-1248.4910973407982	-1188.09423809964	-1970.1956443527515	-122.22891759497111
4000	-4548.177800915435	-171.12006293377823	-4377.057737981657	195.68170559184148	951.6573743206569	952.7871554627503	265.05673378951116	190.53349420811608	158.81479599767184	3.0	2.0	7.0	3.0	5.0	8.47286595207228	0.5893974042604407	0.5032508448111169	1.907351750928442	1.2182001597653257E-4	-1235.1197611005757	-1196.134050579588	-1945.8039263014932	-134.7458751185828
5000	-4554.203552598641	-170.05366721923556	-4384.1498853794055	190.40602556510288	1282.8182147179593	281.3633829340083	193.11149322212268	144.327625610264	221.48320102614886	2.0	1.0	9.0	2.0	6.0	8.609865069118994	0.5772817495309921	0.5801181947655778	1.8426000557034297	1.1881201261114492E-4	-1237.6261399156974	-1197.9293449505617	-1948.5944005131464	-134.5244883333636
6000	-4536.059447981225	-155.41010375543846	-4380.649344225787	101.50287341949283	1039.06565738359	499.10005203286124	64.98047446650871	155.04509559568004	61.857917605807266	1.0	2.0	7.0	3.0	7.0	9.121991990199968	0.6194060673591151	0.5801181947655778	1.8004757378753067	2.493516896484771E-4	-1234.2437188792464	-1197.4069735119122	-1948.9986518346286	-120.48112787300073
7000	-4531.110208145328	-151.3943092585719	-4379.715898886756	93.17620116616723	1072.5371811651553	350.3295113190047	36.908934771994865	99.35203713200804	44.7418282364491	3.0	2.0	1.0	9.0	5.0	7.906830721795789	0.6014080193230974	0.6183297421058542	1.7802622385710478	2.774173649146217E-4	-1234.176771451746	-1193.3142401392554	-1952.2248872957546	-117.73087749174996
8000	-4541.601409761792	-155.14736289185714	-4386.454046869934	87.7588508601835	849.4023069789979	953.6598174400274	232.71167550225877	117.32491459893598	15.7650723569339	4.0	1.0	2.0	10.0	3.0	9.074022177984668	0.6397618283835995	0.679048668822171	1.681189502794229	2.650944266970225E-4	-1235.625605350603	-1199.2633538400635	-1951.5650876792683	-120.3725298741478
9000	-4542.144959093382	-159.84382898255018	-4382.301130110832	124.72258882081246	886.7742913388086	690.5771188156657	290.1814378108782	143.9325318610612	38.33080100402575	3.0	1.0	4.0	9.0	3.0	10.061908112959411	0.6761520358537174	0.5599105245468676	1.7639374395994145	1.941093414217999E-4	-1237.2215080460176	-1197.6598367722206	-1947.4197852925938	-124.82123966047797
