# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143303091]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep10.treeLikelihood	CP2.Flu_Rep10.treeLikelihood	CP3.Flu_Rep10.treeLikelihood	skyline
0	-7554.008082115943	-136.6221419575082	-7417.385940158434	160.00642790125391	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1784.2259660096095	-1685.9403014848108	-3947.2196726640145	-110.71200878413879
1000	-4749.003014814772	-159.85156638604457	-4589.151448428727	112.96037024708811	227.32420590469522	239.12409324981851	128.0743043248174	60.9849914115032	69.04137671593045	2.0	9.0	4.0	4.0	1.0	4.128676113136211	0.5894935018561571	0.44669545275467715	1.9638110453891657	1.7452159509958744E-4	-1283.6513545513196	-1218.1889122479192	-2087.311181629488	-129.94485549544828
2000	-4555.04346892827	-154.14271658590036	-4400.90075234237	85.26383598494166	342.07741833176885	457.57000672272716	296.9313068029919	165.5845984578843	21.848664258505845	1.0	4.0	4.0	8.0	3.0	5.500885074617806	0.6538662379003951	0.5765887697220852	1.7695449923775197	2.4312088076257332E-4	-1239.6388823225147	-1197.548756617198	-1963.7131134026563	-121.16266686469334
3000	-4548.795701375145	-163.69264335874547	-4385.1030580164	142.5422448867061	662.2191088252441	239.467226164851	243.9671008368447	87.99809164887822	117.72913313794348	6.0	3.0	3.0	6.0	2.0	6.69656359213543	0.5830093274193971	0.6466427116697587	1.7703479609108441	1.536077193991079E-4	-1238.3896700655077	-1199.0499557055914	-1947.6634322453003	-130.26812972466223
4000	-4566.735952202625	-182.5611505363545	-4384.1748016662705	327.35267765871316	1350.118051156865	557.2336246965535	397.1354164911462	133.33755052803113	310.9305156978935	5.0	3.0	2.0	1.0	9.0	7.964721034655244	0.5394584089897241	0.6157973695728078	1.8447442214374683	6.939937030705367E-5	-1239.6373406760556	-1197.7617960676232	-1946.775664922592	-145.07701415516038
5000	-4556.617769866677	-175.89142947755755	-4380.726340389119	233.43672852941364	1264.6702329092936	500.3469774940323	205.3614408243236	207.27139216830741	294.8148918514036	7.0	1.0	1.0	5.0	6.0	6.290506033337436	0.6677072233843944	0.5346448224544644	1.7976479541611414	1.0164427296500614E-4	-1240.1185298460684	-1194.5065247717346	-1946.1012857713163	-139.6554176750017
6000	-4562.770357258024	-188.18049852287442	-4374.589858735149	372.7928062240759	1055.3448121407669	195.78613137796114	255.27246059666075	427.1882107506449	294.83574795656267	7.0	3.0	2.0	3.0	5.0	7.504168473110644	0.6006796841019971	0.5694015290307466	1.8299187868672564	6.166016698625026E-5	-1233.4356918142437	-1194.0850351634156	-1947.06913175749	-151.5122258466969
7000	-4559.274099625141	-177.35707281015863	-4381.917026814983	255.99284684505406	1297.4544467139042	134.06711824084655	327.6049045096646	436.50107498184457	257.00552606314363	6.0	4.0	5.0	1.0	4.0	8.718568254962522	0.6371914922681121	0.5331018176776832	1.8297066900542047	9.003146890186251E-5	-1235.9034551002862	-1196.3629995710046	-1949.6505721436915	-139.61825292313853
8000	-4570.000298258784	-188.65373260684126	-4381.346565651943	416.74368243785875	1818.1456918809035	122.62032335865113	170.86849298989964	355.70305837158776	209.64180634714657	8.0	1.0	1.0	6.0	4.0	9.435226470482268	0.5783165643416754	0.5919767456041198	1.8297066900542047	5.212922993388745E-5	-1237.6760050282558	-1197.5097628981493	-1946.1607977255378	-151.4420268175812
9000	-4573.220934346267	-186.5066294452988	-4386.714304900968	345.3582257571285	3057.66573350714	86.57852083661733	363.2212582732707	322.0882990038486	89.60467444490592	7.0	1.0	2.0	5.0	5.0	11.331230681717848	0.6029239818863266	0.6260464851682078	1.7710295329454657	6.36018890398679E-5	-1236.4368974198378	-1198.4047464895446	-1951.8726609915855	-146.50881212687054
