# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143302762]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep5.treeLikelihood	CP2.Flu_Rep5.treeLikelihood	CP3.Flu_Rep5.treeLikelihood	skyline
0	-6953.62572967141	-137.8703526394743	-6815.7553770319355	66.08370161470609	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1633.623486650494	-1556.3258914033086	-3625.8059989781336	-111.9602194661049
1000	-4975.551853369784	-151.98891513873346	-4823.562938231051	53.01965627650232	245.0832586907606	189.8304277688617	587.8694999362548	118.35474135745989	32.63324872002361	1.0	1.0	8.0	7.0	3.0	2.992126726962776	0.4908208161623425	0.5695605040537103	1.9396186797839472	3.953918280261447E-4	-1322.1945984072302	-1262.4799103553692	-2238.888429468451	-119.14499116340266
2000	-4540.108139079048	-153.29296871250781	-4386.81517036654	87.76207268850476	861.4461657741721	422.3800085565333	190.09057123043647	65.43704627755766	20.190423227193655	1.0	5.0	11.0	2.0	1.0	6.467521514138569	0.5947275046141381	0.5999844281678274	1.8052880672180345	2.5928779586636107E-4	-1238.4473053411443	-1194.3255625885533	-1954.0423024368422	-120.84130595115288
3000	-4545.53768415662	-156.69545862401233	-4388.842225532608	102.68548405093131	591.6929624298286	404.86379098182897	135.67155176557435	56.89188656793326	45.75624332552937	4.0	6.0	8.0	1.0	1.0	8.734835680742298	0.6082101919533662	0.4394562773000117	1.952333530746622	2.347637601093467E-4	-1237.4870395332084	-1198.56191220847	-1952.79327379093	-124.56427083661998
4000	-4536.054184181506	-150.97715394470754	-4385.077030236798	80.85944560330974	638.5453559474548	455.97645999181566	197.1491294729281	59.319602315451434	48.89665607403849	2.0	2.0	7.0	6.0	3.0	10.318002821053575	0.6558799052245861	0.5125039975613025	1.8316160972141113	2.7295853859534303E-4	-1237.504766859311	-1198.004699556854	-1949.5675638206328	-117.96390505029999
5000	-4536.035744475096	-141.4984885395857	-4394.53725593551	68.01102052818904	324.05093814211045	161.15380187164524	142.77911086076566	43.979328815262186	26.3050724284523	4.0	2.0	2.0	10.0	2.0	11.148348260358965	0.5175489260650912	0.48365286341723235	1.9987982105176763	4.060017052022919E-4	-1236.2395648813301	-1199.5582956388919	-1958.7393954152878	-111.4085804668548
6000	-4547.75603547103	-155.1215724517654	-4392.634463019265	90.49002210003758	303.1710532189285	608.6063482315216	244.6987271957716	59.7842427410643	39.13147518748543	4.0	4.0	3.0	8.0	1.0	10.882070738153258	0.5458696276719768	0.5055417350893547	1.9485886372386676	2.2759768170151388E-4	-1240.046142455714	-1197.173819131798	-1955.4145014317528	-121.9955246953541
7000	-4553.4255579264345	-155.04252110883814	-4398.383036817597	100.90476718190638	955.4029871644658	280.14015663101196	144.17280087557882	58.12993857030008	19.61778756553504	5.0	5.0	1.0	7.0	2.0	9.609776049083063	0.5283636486983665	0.5997638749238754	1.8718724763777572	2.3986359968132935E-4	-1239.6279271223143	-1202.3703766231358	-1956.3847330721467	-122.83795034834449
8000	-4537.728381739884	-153.96175909635522	-4383.7666226435285	109.26712512068801	1211.3166473297015	882.6924492189794	128.20987500067457	71.43648191929931	65.0929628788598	5.0	1.0	2.0	10.0	2.0	10.103416069135776	0.5140293384906147	0.5829932147900933	1.902977446719291	2.0085479892879406E-4	-1240.2464592181486	-1198.4680016405584	-1945.0521617848217	-119.20216694302266
9000	-4557.250132069561	-162.13958417795953	-4395.1105478916015	114.38755619562691	913.9951544291225	930.7664055714664	26.168602781240093	114.14437996631523	29.5433248044405	7.0	2.0	2.0	7.0	2.0	7.584176669360157	0.5638168940082484	0.58610865313515	1.8500744528566007	1.913847069305409E-4	-1240.3165403007415	-1200.6633662993522	-1954.1306412915073	-125.9726652416456
10000	-4566.096614580225	-176.12464625742504	-4389.9719683227995	247.3134258489195	1094.2746093400976	1305.5111796741312	153.56386771329463	86.69096592020878	31.743623345396266	9.0	1.0	2.0	6.0	2.0	7.519224997011533	0.5967333285588696	0.5949564673539105	1.8083102040872188	1.1084489606330495E-4	-1240.6577229735558	-1196.4018618899922	-1952.912383459252	-141.19931067128203
11000	-4563.379147960295	-177.47271925980965	-4385.906428700486	230.37271289754082	1123.7857859382493	729.0404223184613	354.3144491957482	91.9490190207787	71.83290876715478	7.0	2.0	2.0	6.0	3.0	9.309864213870096	0.6634960218795035	0.4455867810685533	1.890917197051942	8.455073098900447E-5	-1235.7285729547673	-1198.1849854826087	-1951.9928702631094	-142.03410455314773
12000	-4580.293613845603	-183.60587836083755	-4396.687735484766	389.75017431321	1105.4785683747618	608.2467965359839	243.6681611348327	297.2295215961601	142.31192552421464	5.0	8.0	2.0	4.0	1.0	6.694449545903778	0.6705584077213659	0.5426418226198015	1.7867997696588316	6.477374112006316E-5	-1240.9719902162901	-1198.7500332935008	-1956.9657119749745	-147.43821359432064
13000	-4568.716073597101	-188.6872135649382	-4380.028860032163	363.1895292414254	2198.586965227358	662.3103895680133	580.8888542768016	159.25531036527425	77.76262579562905	6.0	5.0	3.0	5.0	1.0	8.409278175412187	0.749986451913861	0.5856709535152496	1.6643425945708883	5.939768504458865E-5	-1239.3780409859585	-1191.8485755997776	-1948.8022434464265	-151.29518016548965
14000	-4592.56748120296	-207.67589542226804	-4384.891585780692	642.3495453609125	10469.765878665909	2104.708787632076	589.7677959737358	1555.3512734523158	64.50376981093825	5.0	6.0	2.0	4.0	3.0	7.016392708743386	0.6502524351692335	0.69074750345708	1.6590000613736853	3.6347399279424413E-5	-1235.8923047918079	-1199.2590205549068	-1949.7402604339775	-162.67409485524246
15000	-4594.346618791367	-216.85527542896477	-4377.491343362402	1255.8573357842263	4395.23903411395	7093.9292450103285	668.6466276060481	863.547910415732	342.7019236941127	6.0	2.0	2.0	7.0	3.0	8.853505171030012	0.5763555004105929	0.5491167634324599	1.874527736156946	1.810069567468581E-5	-1237.1226279654247	-1193.2239110867738	-1947.1448043102034	-172.3680089799626
16000	-4598.853960229324	-221.0745720848953	-4377.779388144429	1315.078180551379	6421.933152063247	7681.788704893608	1012.150105069965	2530.1567555595802	301.19453249597996	5.0	1.0	5.0	6.0	3.0	9.287999779853706	0.6447731327031295	0.6613706431172335	1.6938562241796356	1.4451554453987411E-5	-1234.4672960088376	-1195.4247873108243	-1947.887304824767	-173.66165776406606
17000	-4596.75886071998	-211.90353639174583	-4384.855324328234	1066.1986848919155	4915.6105114042075	4410.8036375850015	1101.7455435290703	562.3999665909342	136.55801305619138	4.0	2.0	7.0	6.0	1.0	13.702275623394469	0.6502606434569707	0.5992597771376766	1.7504795794053514	2.6550831129592353E-5	-1241.2076105215247	-1198.161874857407	-1945.4858389493022	-168.6565910625756
18000	-4588.17971868984	-207.3861703660044	-4380.793548323836	500.8056752369767	27152.39524334609	5357.549465982046	3218.026673418671	369.59753566314004	51.07908776365164	1.0	6.0	3.0	8.0	2.0	10.204290932871112	0.631226113983401	0.5594230875152316	1.809350798501366	4.220240934896593E-5	-1235.614266787819	-1197.476621880744	-1947.702659655273	-161.01869978512246
19000	-4596.24732080495	-218.12123916746447	-4378.126081637485	997.7053866895814	20250.18139343479	3866.4051743361347	2199.3016950317206	958.384588127941	206.29887602552736	1.0	3.0	4.0	8.0	4.0	9.07111140278052	0.6475615485579762	0.5507969335902292	1.801641517851793	2.3205834782667016E-5	-1233.6252411623557	-1195.622184798269	-1948.8786556768605	-171.85230170823445
