# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143302651]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep4.treeLikelihood	CP2.Flu_Rep4.treeLikelihood	CP3.Flu_Rep4.treeLikelihood	skyline
0	-7617.742084944552	-139.74647635133294	-7477.995608593219	157.64058701394234	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1834.2280186299686	-1684.3102390939284	-3959.4573508693215	-113.83634317796353
1000	-4974.18190502161	-157.8434313732104	-4816.3384736483995	104.03735503536794	482.7175726001884	107.46469916565431	122.21520004949575	134.06923305478128	95.91345623742353	7.0	6.0	3.0	1.0	3.0	3.3091092920204512	0.5541854950211819	0.5348056106668302	1.9110088943119878	2.9215194179537524E-4	-1312.0357875141722	-1252.4336860727117	-2251.8690000615156	-126.73430768569743
2000	-4620.988770058839	-166.4252007674414	-4454.5635692913975	150.7079189063737	1243.975810870427	442.1424004069028	122.60298508706246	81.50100138841134	81.60672234010691	7.0	1.0	5.0	3.0	4.0	9.267020481134567	0.5727726575869547	0.534884865699566	1.8923424767134793	1.645008007512463E-4	-1247.8549774667188	-1201.0329112297304	-2005.6756805949483	-132.3466320716988
3000	-4545.477922753757	-161.20459080769152	-4384.273331946066	121.24174771686077	860.6793142088211	458.2298583502856	153.4944421987223	82.253646628702	65.63859355533384	5.0	4.0	1.0	4.0	6.0	7.998939497149112	0.5574174570159296	0.6496995638104686	1.792882979173602	1.7012353824496628E-4	-1233.8191446622725	-1194.1601564848675	-1956.294030798926	-127.837741397442
4000	-4550.894764315219	-165.34506305887768	-4385.549701256341	134.36147021476825	517.8483248273399	392.3800333684143	256.4178282527143	189.15776923623977	42.63887679886051	3.0	5.0	8.0	2.0	2.0	5.9592037853209	0.573170286812844	0.6496995638104686	1.7771301493766873	1.3981450138333417E-4	-1236.1159317537001	-1199.658272397898	-1949.7754971047434	-131.92482715834112
5000	-4567.002625104452	-180.59394945740013	-4386.4086756470515	307.5657544147841	1192.7427132397986	629.1535793025943	569.7541334684103	68.417028127758	73.4439354798747	5.0	3.0	9.0	1.0	2.0	6.895508312018435	0.573170286812844	0.516506171450465	1.9103235417366908	7.438635465581771E-5	-1234.9796561081648	-1192.8031878062263	-1958.6258317326603	-144.8532264627481
6000	-4584.196787182666	-204.11924775047214	-4380.0775394321945	757.7505160794756	3366.734516311587	1357.0867309183493	492.66218687105004	98.5380305776799	157.84002841663752	6.0	2.0	9.0	2.0	1.0	10.132660556134608	0.5531359176860724	0.6373970734858037	1.8094670088281235	2.6775922118493396E-5	-1237.8941148449985	-1197.5567807114912	-1944.6266438757045	-164.9887788949509
7000	-4564.479435778353	-181.7703931815316	-4382.709042596822	308.38732203784184	2111.4894307811155	632.8155165273525	385.8222694961068	111.25324331806443	55.44077255345703	5.0	6.0	6.0	1.0	2.0	8.305832150818496	0.6207300478119774	0.44364800227005874	1.9356219499179632	6.416373273386401E-5	-1236.1055408719026	-1196.1269376275466	-1950.4765640973726	-145.5296970172029
8000	-4576.812593087619	-192.15380448935997	-4384.658788598259	555.5865100286086	4312.877410805153	1197.103332563294	290.32813453522994	196.30917632471088	103.99661387541747	5.0	6.0	7.0	1.0	1.0	10.133106330043702	0.598317862313489	0.5137503479572909	1.8879317897292194	3.90892317390471E-5	-1237.095492838023	-1197.5906426996714	-1949.972653060565	-153.33489991248913
9000	-4594.953479958419	-214.30799603625587	-4380.645483922163	1145.6546418694688	8988.115776322635	2374.3164775790997	1635.4595070772416	114.31656549947749	264.29968464033806	5.0	5.0	7.0	1.0	2.0	8.345396003509485	0.5574462423729366	0.541553618624757	1.901000139002306	2.0618907197743178E-5	-1237.47687061417	-1196.4476571635116	-1946.7209561444813	-170.73298214962963
