# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:43 BST 2015 [seed=1430143302135]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep9.treeLikelihood	CP2.Flu_Rep9.treeLikelihood	CP3.Flu_Rep9.treeLikelihood	skyline
0	-7222.847752642122	-139.3421140228506	-7083.505638619272	235.36339498565883	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1763.1286739913978	-1601.0907870569426	-3719.2861775709316	-113.43198084948119
1000	-5172.268103245683	-156.68076883727625	-5015.587334408407	112.87209213115962	594.3620655596073	164.31361731327374	96.1290713003834	239.11692844835142	44.33897789427652	6.0	1.0	1.0	8.0	4.0	1.632077541478921	0.6648154368572244	0.25276974435773647	2.0824148187850393	2.6736713615096134E-4	-1350.5834467466314	-1305.1501336712543	-2359.8537539905215	-124.73714352690561
2000	-4579.801508893748	-150.05356849673376	-4429.747940397015	93.99792378745343	537.3676895805625	214.3785413861478	140.49690381193875	274.0894678352808	30.095626159796616	4.0	4.0	2.0	6.0	4.0	3.5100490171914602	0.6817237084367016	0.5247220607468863	1.7935542308164123	2.774820352856797E-4	-1241.4827613929456	-1200.3755964323316	-1987.8895825717373	-117.1832197608615
3000	-4548.727093763508	-166.20074870895078	-4382.526345054557	159.02545678390365	783.9651792428259	456.84032494234685	217.88705351454712	184.1621764906578	43.50577483983317	4.0	5.0	4.0	6.0	1.0	6.366393656353432	0.6733488926759692	0.6021148492248077	1.7245362580992234	1.4859315326299795E-4	-1235.8405879858767	-1197.3185201296503	-1949.3672369390304	-132.15573012312242
4000	-4551.1749982212805	-165.81615376870525	-4385.358844452575	153.03241350537724	903.3227324166941	537.8028627665237	200.7177108100893	188.1852632571756	271.8404880594328	4.0	1.0	2.0	12.0	1.0	8.578100434054244	0.6801228719435817	0.5909610920075637	1.728916036048855	1.4634337152570666E-4	-1239.5621750663238	-1196.480077805871	-1949.31659158038	-129.87728593754815
5000	-4542.922879635286	-165.28547547696803	-4377.6374041583185	152.66224054630476	637.7750511539164	299.78757909557044	225.06260741651923	236.74314751086655	180.35352628691703	3.0	3.0	4.0	8.0	2.0	8.51390181505478	0.557351742991745	0.5873647828449011	1.8552834741633544	1.6428699895172614E-4	-1236.6068149202683	-1197.9150377735218	-1943.1155514645282	-130.60687278125502
6000	-4547.773134177122	-166.716344174871	-4381.056790002252	143.32994388507365	317.9256110821999	282.5112030885619	140.67398778561213	166.07821494780444	197.97097469765941	9.0	1.0	6.0	1.0	3.0	7.830595213724306	0.6207586919168705	0.5239578339197756	1.8552834741633544	1.6433168789842028E-4	-1236.197612204216	-1197.34554430486	-1947.513633493176	-133.67287556561266
7000	-4550.68284374146	-167.74237604905431	-4382.940467692405	150.2139544237393	261.4773252209477	324.376371776275	199.52816264276711	88.52722038952062	178.9997368587346	4.0	5.0	5.0	4.0	2.0	7.318391465114876	0.6207586919168705	0.5601615107975471	1.819079797285583	1.636210417192656E-4	-1233.1529393494418	-1201.3036349638467	-1948.4838933791164	-134.73679786915153
8000	-4548.563289194944	-170.05349741569646	-4378.509791779248	162.3348911506979	911.4214670788134	907.8805334836695	446.97915160323157	80.123122228568	198.76205733852052	5.0	1.0	4.0	5.0	5.0	8.745131147258604	0.6057580702893737	0.5391328179435497	1.8551091117670773	1.5356947630722304E-4	-1239.6104579396642	-1201.092848911033	-1937.8064849285515	-132.80939015937238
9000	-4560.153732284565	-181.98654594590897	-4378.167186338656	270.4687052386544	756.9763747702639	1192.4471862552023	267.6636643177327	436.1562744756382	175.75067148534515	2.0	6.0	6.0	4.0	2.0	8.188992317201347	0.5461285315890765	0.6010913463605028	1.8527801220504214	9.387505039312476E-5	-1236.206955489791	-1195.5820357209302	-1946.3781951279348	-144.04140657687125
10000	-4554.8919567173325	-180.29244714818174	-4374.5995095691505	259.4449315253841	1167.1508888246947	942.7274179702684	424.77717330485297	194.74270212084133	212.54183935593596	1.0	5.0	3.0	9.0	2.0	9.06918243970889	0.6146674336908171	0.50656445126378	1.8787681150454036	9.084200288989681E-5	-1234.7702293682557	-1196.452886497278	-1943.3763937036167	-142.98274527308834
