# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:44 BST 2015 [seed=1430143302680]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep1.treeLikelihood	CP2.Flu_Rep1.treeLikelihood	CP3.Flu_Rep1.treeLikelihood	skyline
0	-8081.662411937981	-136.30724047337907	-7945.355171464602	170.74619800864937	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1865.8248196067582	-1763.1713332329114	-4316.359018624932	-110.39710730000967
1000	-4908.113479177373	-149.7670852918181	-4758.346393885555	80.57626025297485	677.0446714509767	465.6359230080472	303.90550039394475	112.45755066495747	33.20216992367613	3.0	2.0	3.0	6.0	6.0	3.302748055553939	0.6241965425683407	0.4989390504619842	1.876864406969675	3.4229193461741454E-4	-1315.139547802639	-1232.9127650515757	-2210.2940810313403	-116.94846090722999
2000	-4560.66366897096	-153.32085910204015	-4407.34280986892	72.04059397029853	650.2203126572574	361.7563999338891	248.29186150702523	126.96344857989548	48.08150934624264	1.0	3.0	3.0	7.0	6.0	6.373088351296646	0.507857367505381	0.5142019165317453	1.9779407159628735	2.9046711633691616E-4	-1239.2470513118444	-1197.6233919017402	-1970.472366655336	-120.13191533739071
3000	-4562.559804192426	-164.0691613111304	-4398.490642881296	122.86936570412473	1270.3046617683647	855.0991333641515	637.755511709684	217.07263933698414	132.20162910498416	1.0	1.0	5.0	5.0	8.0	8.08918798383866	0.6141873413536009	0.4844589376128984	1.9013537210335003	2.0541299978532265E-4	-1237.4630292599693	-1197.2842491372132	-1963.743364484113	-126.7268431878824
4000	-4565.488921273534	-172.16233652953903	-4393.326584743995	178.50558386914958	1294.0559013260022	863.9038177337126	279.7772615153486	158.17341538681563	107.5814149672574	4.0	4.0	7.0	1.0	4.0	8.506734639550862	0.43748739607555587	0.581670318244	1.980842285680444	1.1643409517409806E-4	-1239.8417535263327	-1196.9181129428835	-1956.5667182747793	-135.9943082549346
5000	-4553.132142763198	-168.92189550448427	-4384.210247258714	188.22874984967044	926.8800684186435	625.2564494343984	169.75944644930493	101.12357013663392	21.07579021459944	6.0	3.0	9.0	1.0	1.0	9.723432076261755	0.7732151298488752	0.47800491068525136	1.7487799594658733	1.1539745696599897E-4	-1242.5281579952748	-1196.6404245779258	-1945.0416646855138	-135.04463177933616
6000	-4570.366169750658	-190.46898581644245	-4379.897183934216	480.55607583226583	2226.275027418226	851.5541072411303	335.60805786882355	420.20309446217544	13.714785039726491	6.0	3.0	7.0	3.0	1.0	8.48326340006488	0.5577950769984347	0.4972437796605722	1.944961143340993	4.5171115524900123E-5	-1240.1391634097558	-1195.8664130183524	-1943.8916075061077	-152.2496576465682
7000	-4580.566385112637	-192.34152176720085	-4388.2248633454365	517.4648778680454	4521.276415926725	1968.948398606952	260.437361896413	245.03488405056126	12.523888012003162	2.0	6.0	9.0	2.0	1.0	8.44295066581524	0.6156291393427396	0.5806606641295495	1.8037101965277107	4.280617999629836E-5	-1235.35020726188	-1192.355932876555	-1960.5187232070016	-153.16634562108558
8000	-4582.575128967815	-195.5802286863355	-4386.994900281479	510.61305455578463	3517.017452375393	1453.879886314606	231.0254570215664	195.91818015343702	9.514312479469519	8.0	5.0	5.0	1.0	1.0	10.8309719170439	0.6050104258871087	0.5902364984169023	1.8047530756959889	4.028693422443663E-5	-1233.1414665934192	-1193.6670912129055	-1960.1863424751546	-157.39597870574357
9000	-4583.3148701932605	-197.81619221796066	-4385.4986779753	448.8048688851136	4989.4022135655605	1561.7103388855653	140.2123123042944	450.1457960345268	25.628057369736716	6.0	7.0	1.0	5.0	1.0	8.415349215111481	0.503874759766758	0.6880148568915178	1.808110383341724	4.387019155745277E-5	-1241.3465293027298	-1195.2710713000204	-1948.8810773725497	-156.5795479910617
