# BEAST v1.7.4, r5154
# Generated Mon Apr 27 15:01:42 BST 2015 [seed=1430143301572]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu_Rep8.treeLikelihood	CP2.Flu_Rep8.treeLikelihood	CP3.Flu_Rep8.treeLikelihood	skyline
0	-7685.155450377843	-139.9550853424003	-7545.200365035443	148.95239617001351	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1800.5508170523572	-1697.8842650399165	-4046.765282943169	-114.04495216903089
1000	-4912.204470451063	-134.78699184899642	-4777.417478602067	57.19590819413752	96.68035825927815	475.83846223330085	74.42293282533076	19.94202703366021	20.151964492481046	3.0	4.0	3.0	5.0	5.0	2.3549664156432852	0.5408814427206087	0.49707684981729794	1.9620417074620933	3.8100515702648845E-4	-1302.548604219623	-1278.235659352107	-2196.6332150303365	-104.96331656624236
2000	-4633.429334626034	-141.03661863829407	-4492.392715987739	65.99756116564396	195.22699364645854	455.35500012530724	77.7602290044308	20.029429117648096	25.13751152562932	3.0	6.0	1.0	4.0	6.0	10.318496007361876	0.5977683733748042	0.5730312120019311	1.8292004146232648	3.697842499445037E-4	-1252.3050714553594	-1229.6639439432804	-2010.4237005890993	-110.66662933836167
3000	-4529.50810189674	-139.2123076010581	-4390.295794295682	61.34589010660797	157.34652994145424	371.14685584932744	111.34832724363761	9.28860762055885	25.822112139982682	4.0	2.0	4.0	1.0	9.0	7.880741245823951	0.7945784882023803	0.5295216526038515	1.6758998591937682	3.536072146682152E-4	-1239.676037712	-1196.494617785269	-1954.1251387984125	-108.65074072101419
4000	-4522.1056595104255	-141.06389473423584	-4381.04176477619	64.51349575132684	142.60165748854254	564.6715946840617	89.01446435167165	9.013589301835715	40.0594838220162	4.0	3.0	1.0	2.0	10.0	9.587918588437146	0.6372774927965189	0.4883890031228585	1.8743335040806226	3.2789980179945955E-4	-1238.1034131291735	-1192.5713671161056	-1950.3669845309107	-107.19647894103197
5000	-4520.99474512819	-134.80815796943722	-4386.186587158752	51.92924321087622	240.30256902962992	203.27159713400223	108.90447119582991	17.43275171103178	39.117843536069905	5.0	1.0	3.0	3.0	8.0	10.150480284392684	0.6092867575391875	0.4938189066119889	1.8968943358488237	4.26622657341991E-4	-1240.2028476799721	-1195.1930183188415	-1950.7907211599384	-104.87781547043386
6000	-4528.527062290159	-141.57455111814545	-4386.952511172013	66.7743393090216	62.10845624683258	266.8430809781577	155.62359440208823	12.707161512412641	21.687552125432283	1.0	4.0	2.0	5.0	8.0	8.7697551740755	0.4794201391957057	0.49418706038718896	2.0263928004171055	3.833233633306422E-4	-1239.7838798044984	-1198.0777280639743	-1949.0909033035407	-111.30123150632255
7000	-4527.303197430225	-143.1417234915288	-4384.161473938696	61.1382786118055	185.8309194871489	284.1116626247581	77.06365626555412	61.19916442739206	59.04430639954585	4.0	4.0	1.0	4.0	7.0	7.0872955751677065	0.52790544898108	0.6290906636257904	1.8430038873931296	3.4898797652803165E-4	-1237.7834820217336	-1191.3299572022308	-1955.0480347147313	-113.06656919821506
8000	-4528.205081646205	-142.63008153777784	-4385.575000108427	60.56998099445314	297.8037818339278	389.04797839000224	125.66727117454586	36.956341806313695	61.80867892689445	3.0	3.0	1.0	1.0	12.0	7.896370543913745	0.542247980821055	0.5094729571576756	1.9482790620212693	3.701337927634215E-4	-1237.5625369497366	-1189.1494598391553	-1958.863003319535	-111.16776926947462
9000	-4522.736899005526	-143.41103731737235	-4379.325861688153	83.7379010128065	263.32211336342647	417.27319823784126	159.76753910514765	41.792795440062285	50.437181935723025	3.0	2.0	2.0	1.0	12.0	8.744724372836272	0.5625280370368473	0.6398115277885046	1.7976604351746484	3.1656543577224895E-4	-1235.8570829045805	-1196.5896619301916	-1946.8791168533808	-111.81968742741182
