pop,Pi
paucaCA,0.615384615384615
paucaCA,0.512820512820513
paucaCA,3.07692307692308
paucaCA,2.05128205128205
paucaCA,15.9230769230769
paucaCA,3.48717948717949
paucaCA,2.53846153846154
paucaCA,5.46153846153846
paucaCA,0
paucaCA,0.538461538461539
paucaCA,0.282051282051282
paucaCA,1.05128205128205
paucaCA,9.38461538461538
paucaCA,2.56410256410256
paucaCA,0
paucaCA,1.38461538461538
paucaCA,3.61538461538462
paucaCA,2
paucaCA,4.53846153846154
paucaCA,0.666666666666667
paucaCA,0.307692307692308
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0
paucaCA,7.38461538461538
paucaCA,0.384615384615385
paucaCA,1.84615384615385
paucaCA,3.69230769230769
paucaCA,0
paucaCA,3.15384615384615
paucaCA,0.307692307692308
paucaCA,0
paucaCA,1.69230769230769
paucaCA,0.461538461538462
paucaCA,0.307692307692308
paucaCA,0.153846153846154
paucaCA,0.307692307692308
paucaCA,1.51282051282051
paucaCA,0
paucaCA,0.435897435897436
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0
paucaCA,0.307692307692308
paucaCA,0
paucaCA,3.12820512820513
paucaCA,10.0769230769231
paucaCA,0.743589743589744
paucaCA,1.84615384615385
paucaCA,2.30769230769231
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.307692307692308
paucaCA,3.71794871794872
paucaCA,7.76923076923077
paucaCA,0.923076923076923
paucaCA,0.743589743589744
paucaCA,2.30769230769231
paucaCA,0
paucaCA,0
paucaCA,0.615384615384615
paucaCA,0.461538461538462
paucaCA,0
paucaCA,1.66666666666667
paucaCA,0
paucaCA,0.307692307692308
paucaCA,0.846153846153846
paucaCA,1.84615384615385
paucaCA,0
paucaCA,0.615384615384615
paucaCA,0.461538461538462
paucaCA,0.615384615384615
paucaCA,12.4615384615385
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.743589743589744
paucaCA,0.153846153846154
paucaCA,0
paucaCA,8.41025641025641
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,14.6153846153846
paucaCA,1.46153846153846
paucaCA,1.51282051282051
paucaCA,9.76923076923077
paucaCA,3.35897435897436
paucaCA,3.41025641025641
paucaCA,2.1025641025641
paucaCA,7.92307692307692
paucaCA,0.384615384615385
paucaCA,0.538461538461539
paucaCA,0.435897435897436
paucaCA,0.923076923076923
paucaCA,2.43589743589744
paucaCA,8.17948717948718
paucaCA,0
paucaCA,0
paucaCA,1.74358974358974
paucaCA,12.8205128205128
paucaCA,0.58974358974359
paucaCA,0.307692307692308
paucaCA,0.384615384615385
paucaCA,0.769230769230769
paucaCA,0.461538461538462
paucaCA,0.615384615384615
paucaCA,0.974358974358974
paucaCA,1.23076923076923
paucaCA,0.153846153846154
paucaCA,32
paucaCA,25.1794871794872
paucaCA,0.538461538461539
paucaCA,1.30769230769231
paucaCA,1.02564102564103
paucaCA,0.153846153846154
paucaCA,0
paucaCA,1.53846153846154
paucaCA,5.35897435897436
paucaCA,4.94871794871795
paucaCA,4.92307692307692
paucaCA,9.43589743589744
paucaCA,14.8974358974359
paucaCA,1.64102564102564
paucaCA,0.307692307692308
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,19.3076923076923
paucaCA,0
paucaCA,3.20512820512821
paucaCA,0.307692307692308
paucaCA,0
paucaCA,0.153846153846154
paucaCA,0
paucaCA,0.769230769230769
paucaCA,1.23076923076923
paucaCA,1.84615384615385
paucaCA,0.564102564102564
paucaCA,3.02564102564103
paucaCA,3.53846153846154
paucaCA,4.79487179487179
paucaCA,0
paucaCA,3.38461538461538
paucaCA,0.769230769230769
paucaCA,4.1025641025641
paucaCA,1.02564102564103
paucaCA,2.64102564102564
paucaCA,5.84615384615385
paucaCA,1.48717948717949
paucaCA,1
paucaCA,1.33333333333333
paucaCA,0.846153846153846
paucaCA,1.07692307692308
paucaCA,0.461538461538462
paucaCA,0
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.769230769230769
paucaCA,1.38461538461538
paucaCA,2.15384615384615
paucaCA,0.512820512820513
paucaCA,1.61538461538462
paucaCA,3.97435897435897
paucaCA,7.71794871794872
paucaCA,1.69230769230769
paucaCA,0.435897435897436
paucaCA,0.846153846153846
paucaCA,0.615384615384615
paucaCA,0.153846153846154
paucaCA,0.153846153846154
paucaCA,0.461538461538462
paucaCA,0.153846153846154
paucaCA,0.307692307692308
paucaCA,0.743589743589744
paucaCA,0.282051282051282
paucaCA,6.53846153846154
paucaCA,4.1025641025641
paucaCA,6.56410256410256
paucaCA,2.61538461538462
paucaCA,3.30769230769231
paucaCA,5.23076923076923
paucaCA,1.38461538461538
paucaCA,0.615384615384615
paucaCA,1.84615384615385
paucaCA,0.538461538461538
paucaCA,1.84615384615385
paucaCA,1.07692307692308
paucaCA,1.69230769230769
paucaCA,2.30769230769231
paucaCA,12.1282051282051
paucaCA,2.69230769230769
paucaCA,0.564102564102564
paucaCA,13.5384615384615
paucaCA,7.28205128205128
paucaCA,2.56410256410256
paucaCA,21.7435897435897
paucaCA,0.461538461538462
paucaCA,2.56410256410256
paucaCA,0.846153846153846
paucaCA,0.923076923076923
paucaCA,0.974358974358974
paucaCA,3.61538461538462
paucaCA,0.974358974358974
paucaCA,13.2564102564103
paucaCA,5.53846153846154
paucaCA,3.92307692307692
paucaCA,0.538461538461539
paucaCA,1.07692307692308
paucaCA,5.12820512820513
paucaCA,8.76923076923077
paucaCA,0.384615384615385
paucaCA,10.1538461538462
paucaCA,5.07692307692308
paucaCA,3.76923076923077
paucaCA,5
paucaCA,18.1025641025641
paucaCA,17.5384615384615
paucaCA,1.74358974358974
paucaCA,3.1025641025641
paucaCA,1
paucaCA,0.615384615384615
paucaCA,1.69230769230769
paucaCA,1.46153846153846
paucaCA,1.07692307692308
paucaCA,1.84615384615385
paucaCA,2.30769230769231
paucaCA,6.28205128205128
paucaCA,1.53846153846154
paucaCA,0.923076923076923
paucaCA,2
paucaCA,2.23076923076923
paucaCA,3.38461538461539
paucaCA,4.38461538461539
paucaCA,3.46153846153846
paucaCA,7.25641025641026
paucaCA,31.9487179487179
paucaCA,3.25641025641026
paucaCA,0
paucaCA,5.05128205128205
paucaCA,0.307692307692308
paucaCA,0.153846153846154
paucaCA,0.692307692307692
paucaCA,0
paucaCA,2.07692307692308
paucaCA,2.15384615384615
paucaCA,0.692307692307692
paucaCA,0.769230769230769
paucaCA,0.769230769230769
paucaCA,3.46153846153846
paucaCA,2.30769230769231
paucaCA,0
paucaCA,0.307692307692308
paucaCA,0.461538461538462
paucaCA,1.61538461538462
paucaCA,0
paucaCA,1.66666666666667
paucaCA,4.05128205128205
paucaCA,5
paucaCA,1.66666666666667
paucaCA,24.5897435897436
paucaCA,2.69230769230769
paucaCA,3.38461538461539
paucaCA,0.615384615384615
paucaCA,1.53846153846154
paucaCA,2.53846153846154
paucaCA,24.6153846153846
paucaCA,8.71794871794872
paucaCA,2.71794871794872
