# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153531600]
state	age(TREESPARROW_HENAN_1_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7732.973069393911	-363.2566728992505	-7369.71639649466	98.57437629577062	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1764.54202490375	-1650.6777423782876	-3954.496629212623	-107.08803042647648
1000	1.1570160527230717	-5218.955088810723	-355.3728790983501	-4863.582209712373	31.46356969680586	269.4602754458887	109.4660051382799	48.523235957563834	56.30475556389476	14.790449861615771	4.0	5.0	2.0	2.0	7.0	1.563487015944078	0.40116380438578636	0.46466568478050274	2.134170510833711	8.103535553334033E-4	-1338.4282198725505	-1227.252342088544	-2297.901647751278	-98.59360702197746
2000	0.4366277552841624	-4736.530336763127	-348.55019567226594	-4387.980141090861	29.338674579958084	79.38970230482731	39.76165093367094	56.928867981168	95.84354778356298	28.047748678785844	1.0	8.0	3.0	2.0	6.0	5.4614493568470746	0.6178241240878357	0.48165541432993136	1.900520461582233	0.0010406990969417842	-1234.3090370986035	-1197.690174011581	-1955.9809299806768	-91.64900998890201
3000	2.7943072953119295	-4716.0734546544845	-342.5139706848812	-4373.559483969603	22.437306669363405	160.63261253878656	38.29672685110981	21.689140515084326	31.63933486517658	56.833560390958134	2.0	10.0	6.0	1.0	1.0	9.015958612368628	0.7080583852419804	0.4448255955559801	1.8471160192020397	0.0012737172327233447	-1232.8144115446198	-1195.5792568797278	-1945.1658155452553	-85.66183355724952
4000	1.7697742947049437	-4712.574760582031	-339.0501115610864	-4373.524649020945	22.55192757623407	334.28725344952335	18.916326535144346	23.6869540189831	23.027709519112936	25.35304111571207	1.0	6.0	5.0	2.0	6.0	8.23773494972643	0.5361222562331748	0.690353889073143	1.7735238546936825	0.001255080318224214	-1230.7782278369723	-1196.0666934648707	-1946.679727719102	-82.43529592996441
5000	0.7842438703338104	-4715.617732142046	-339.94914671035946	-4375.668585431687	23.886569664773813	507.7481141187333	23.293038318411785	39.14440378506431	11.96345032200043	10.70831610106282	1.0	4.0	6.0	4.0	5.0	7.464664201959606	0.5509785895564242	0.6814975103696207	1.7675239000739553	0.0013088235270876682	-1231.5328105224255	-1196.8032248444135	-1947.3325500648477	-82.99611371816452
6000	0.513322854759934	-4710.912507639811	-335.4724342300769	-4375.440073409734	24.16355782007987	230.25545274593904	33.27944911528034	31.59265791291203	10.88159818774522	17.8239765140956	1.0	2.0	3.0	5.0	9.0	6.815241956675829	0.5721151293310107	0.7147245299774512	1.7131603406915386	0.0012613779747861831	-1238.0427762883662	-1197.1921784438405	-1940.205118677528	-79.99517272799139
7000	0.09159894798881485	-4712.077791286341	-333.3925632730775	-4378.685228013263	25.819160468250892	104.51926432737338	22.058944139096386	9.048084498332148	16.185827388687784	11.456292531405836	4.0	2.0	1.0	8.0	5.0	10.38996401017329	0.5844275149074161	0.5268094997020101	1.888762985390574	0.0012746574650932846	-1237.8137261135482	-1199.4003789869014	-1941.471122912814	-80.29616892701938
8000	0.3399226708588088	-4719.524008552175	-341.05600458846754	-4378.468003963707	25.197963448934484	331.69792434029324	27.106450418296642	12.702434898591834	19.162164874176366	12.458314299265576	1.0	2.0	2.0	12.0	3.0	10.101429034539178	0.5729044823451339	0.5268094997020101	1.9002860179528562	0.001182299585162625	-1237.6607712301156	-1196.2079351783816	-1944.59929755521	-85.37283818131691
9000	2.104396839302594	-4710.079198386104	-335.4218468284249	-4374.657351557678	24.74231582948119	159.25771428133726	66.55877947021582	20.790118997278	19.70336135423218	5.826922349516992	1.0	2.0	6.0	10.0	1.0	8.368938919480241	0.6679191785801785	0.5987153301203021	1.7333654912995198	0.0010713580840939632	-1236.273406241142	-1196.1284104238855	-1942.2555348926512	-80.71066226799628
10000	1.573632968462298	-4709.05562729452	-334.4687879238377	-4374.586839370682	24.546341540496392	351.20743306002856	24.008607084421065	12.722209391564451	13.580916535587246	13.50610290232553	2.0	11.0	2.0	2.0	3.0	11.849354177710433	0.5566865367210919	0.5549486891042082	1.8883647741747005	0.001199635176533818	-1237.4663990671938	-1193.539558496954	-1943.5808818065348	-79.02457378453212
11000	1.4155624265268452	-4718.645174018978	-340.33086577403816	-4378.31430824494	24.84072341428163	244.98997385133143	42.20965581609393	14.978402724415165	17.930033334799987	33.35540364313342	2.0	10.0	3.0	3.0	2.0	10.987996822467935	0.4342092868126276	0.5477461462033109	2.018044566984062	0.0011356572097054615	-1240.1060698980223	-1196.6232312702057	-1941.585007076712	-83.75286613285493
