# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153532829]
state	age(GOOSE_SHANTOU_2216_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
14000	1.0232931340818296	-4716.995243243504	-341.8195746221277	-4375.175668621376	26.671481906694233	231.25633534232745	12.770721413618398	33.564592282773916	17.813437077798184	24.531962574885387	2.0	7.0	1.0	4.0	6.0	7.756913430914742	0.5723826228547557	0.7049567026215093	1.722660674523735	0.001039203828865543	-1236.6770395669116	-1195.050389319518	-1943.4482397349464	-85.09349688976943
15000	1.1710433390224675	-4721.821776334075	-340.4587980001503	-4381.362978333925	28.772735043707158	89.15655627706671	15.100852432544714	47.35507694148878	6.534865124058239	17.895016462134123	1.0	11.0	1.0	1.0	6.0	7.352252397163105	0.7281416851322102	0.5346705633320475	1.7371877515357421	9.5367087303171E-4	-1238.8141780526444	-1194.3525910906185	-1948.1962091906614	-84.593233707273
16000	0.4175399306095471	-4719.599123467663	-346.42277731600666	-4373.176346151657	28.424984852886094	120.62412843757718	34.99743082550315	79.34079109357702	37.00046146307694	11.983117855784782	1.0	12.0	1.0	1.0	5.0	8.643786600323214	0.7468712444598827	0.5659649166749889	1.6871638388651282	9.405395587490915E-4	-1233.6094400493466	-1196.8722333624412	-1942.6946727398688	-89.53471623409074
17000	0.6660350621517392	-4713.86438853883	-341.1939515263326	-4372.670437012497	25.73067804488268	158.06699097371094	69.0241608769635	66.23129842681455	21.217173981475103	11.888673227166583	1.0	2.0	5.0	4.0	8.0	9.495989806914706	0.6696925270621301	0.5608028132111398	1.76950465972673	0.0011527690654923178	-1231.9484082478743	-1197.2765921641476	-1943.4454366004754	-84.79921734207952
18000	0.2762549737375679	-4709.051939854132	-335.12812440741124	-4373.92381544672	22.776986607178028	209.53461647183101	36.982123891694236	49.79211311232006	27.049834311957305	7.715734752284737	1.0	1.0	5.0	4.0	9.0	10.35140394540993	0.7647492538587877	0.5179721420091621	1.7172786041320505	0.0012307086263425367	-1236.491197562299	-1196.0450787482907	-1941.387539136131	-78.67536625090688
19000	1.4430089055880877	-4699.295481323178	-331.50042934400904	-4367.795051979169	21.031178691124673	66.83282635912758	34.02992818652428	31.727087555770552	13.555325374855702	7.989262915096619	2.0	4.0	4.0	4.0	6.0	8.590435708979209	0.6195433193307635	0.5487796307681895	1.8316770499010473	0.0014744156127817563	-1233.476530617526	-1191.782870128152	-1942.5356512334918	-78.6375527906266
20000	1.245509260736397	-4707.943413840184	-329.38152475934595	-4378.561889080838	22.22837026786122	99.3196822532041	32.781202009912754	7.067371046678925	9.60701426761221	11.201985293900018	5.0	2.0	8.0	1.0	4.0	12.586574672628586	0.619527255222053	0.5138214779022772	1.86665126687567	0.0015147034532559	-1236.778537910166	-1198.8627301659942	-1942.9206210046773	-76.61484108844296
21000	1.875606928050929	-4702.950660303978	-332.15233125016624	-4370.798329053812	19.737003865654547	85.72875218705512	16.17269150319409	18.28779919422377	24.386999442174442	10.456735547729068	1.0	3.0	12.0	3.0	1.0	9.345975236955871	0.6348893025066942	0.5363896721762436	1.8287210253170625	0.0014111418266699002	-1237.405880394986	-1191.0319004883781	-1942.3605481704476	-78.79116379502302
22000	0.032970615702526684	-4699.6937198910055	-331.04300921645125	-4368.650710674554	18.17718496159012	138.2837406287961	14.105904466463063	13.39696305179901	12.144911591108626	12.269112091296455	3.0	2.0	2.0	5.0	8.0	9.358379246155337	0.5709150565184877	0.60036391816445	1.8287210253170625	0.001528789593583495	-1233.1201272190906	-1197.5015433170076	-1938.0290401384555	-77.98256350937119
23000	1.5927561668684196	-4708.0878269504465	-333.1756484170992	-4374.912178533347	20.319883418342314	61.86543297870484	14.278206454935649	19.602877865918128	9.119979702103576	8.830119018827956	1.0	6.0	4.0	3.0	6.0	9.689493957420426	0.6074100588524447	0.46832101377585655	1.9242689273716989	0.001316408082372275	-1237.0521939026771	-1188.614137649496	-1949.2458469811747	-81.51412412024175
24000	1.0387518611966011	-4707.087446825555	-328.7582993865003	-4378.329147439055	20.095875781868305	125.95126230937726	55.32281556168261	16.947040644950746	7.201827636969984	5.043332121811595	1.0	1.0	15.0	1.0	2.0	6.650395442280884	0.6074100588524447	0.7064187881725202	1.6861711529750352	0.0015328226417093362	-1235.0728436012441	-1193.3512927627642	-1949.9050110750468	-76.24489453106729
25000	0.1881748361565707	-4693.398383895713	-322.9180373796813	-4370.480346516031	15.787571332536285	196.76396862387847	31.34992332679717	4.003908900565508	4.545280393567935	0.9106166274056411	3.0	6.0	4.0	6.0	1.0	8.71991785941865	0.6857227599723803	0.5963631199714935	1.717914120056126	0.0018412286660050778	-1236.3307214846084	-1188.8724072604334	-1945.277217770989	-71.9607378079957
26000	0.02627506266453894	-4684.063028071443	-313.92858219753185	-4370.134445873911	14.99737246649963	49.20239131370194	22.250183622821044	7.392283148556869	11.084941275750989	3.1699216037017934	1.0	3.0	2.0	4.0	10.0	8.72168495295074	0.5609416164565049	0.5902181283795302	1.8488402551639647	0.0023564652468919837	-1237.2617139358404	-1196.5896686764374	-1936.283063261633	-63.63405407530766
27000	0.9814483551980457	-4678.083677519923	-311.65401039481094	-4366.429667125112	13.17316573293122	121.23532026002127	85.10036388343228	8.098989706627897	8.112690333058636	2.5141383361420866	1.0	2.0	5.0	5.0	7.0	8.432142985269984	0.5609416164565049	0.6325736718274311	1.8064847117160638	0.002698519323069204	-1233.6770011450362	-1194.084599542407	-1938.6680664376693	-58.9302759751339
28000	0.5000097302548754	-4684.6013645669345	-316.0639846849875	-4368.537379881947	12.461835881729675	74.02438660057885	141.6904005822016	13.980879048075543	10.037678902854925	3.3743562677809726	2.0	1.0	5.0	3.0	9.0	9.961978505159056	0.5304017646053186	0.6821214043643709	1.7874768310303104	0.0026885289198419547	-1233.01877665048	-1195.9293479226214	-1939.5892553088458	-61.93332660050587
29000	0.6617467501841143	-4679.729596288998	-315.9565842223891	-4363.773012066609	13.13122446860646	59.4301023971471	170.56602008875393	18.04550988931608	7.7561097603979166	2.8702767687779867	2.0	1.0	6.0	4.0	7.0	7.018158109245947	0.7004719024678668	0.5011385712826424	1.7983895262494907	0.0024619355290959968	-1234.0735643353783	-1190.6512963102011	-1939.0481514210298	-61.72377214886583
30000	0.1309924193906431	-4672.701483309014	-309.24653994306505	-4363.4549433659495	11.677654362348921	61.95747403617805	65.3558549424437	11.299697955065124	8.08249505756415	2.3359333832176774	1.0	2.0	5.0	5.0	7.0	7.900472567039444	0.5384365498203242	0.6230554745256579	1.8385079756540177	0.0026329080250333784	-1231.9234152193258	-1192.6906934438916	-1938.840834702732	-57.7418471613092
31000	0.09322500496948785	-4677.425675401483	-310.02106120569226	-4367.404614195791	13.433463024426619	24.132152201468717	4.866250952681808	6.50027135140312	8.951063891470591	5.437286352104886	5.0	4.0	2.0	5.0	4.0	12.194186709951895	0.6779423914098085	0.6697096849518577	1.6523479236383336	0.002770039802724695	-1234.8856267999408	-1196.9025157634585	-1935.616471632391	-61.72665080963754
32000	0.04505201707822126	-4669.209855599202	-303.72011251293276	-4365.489743086268	12.950345677998648	39.78056870313738	12.035855348422398	2.4996390785162377	10.490124196332447	1.1633030412742962	2.0	1.0	3.0	9.0	5.0	7.233842361616625	0.607301881624307	0.7022026606303642	1.6904954577453286	0.0025638585563618047	-1233.7447785481495	-1192.5738448578525	-1939.1711196802662	-53.54381551231037
33000	0.8103592277123886	-4675.881706103278	-307.0565674026071	-4368.82513870067	12.741722829209554	41.28041538576698	12.368820384070366	3.0570627162268154	7.4730695943223955	2.0724162251447353	2.0	2.0	1.0	5.0	10.0	10.314263463454449	0.6644776602520573	0.48673390097088065	1.8487884387770617	0.0024297883145449027	-1236.2412364221352	-1193.5340446466926	-1939.049857631842	-58.11118269164516
34000	1.026181345743681	-4675.741394964031	-307.1025640468696	-4368.638830917162	12.136764009935096	245.5211588087302	4.129928353566251	9.087605685255276	4.111646081732305	1.3676993124348866	3.0	3.0	4.0	3.0	7.0	7.564235172506306	0.5395495601861621	0.6576269755337578	1.8028234642800798	0.0029323470627225096	-1233.2467474397765	-1190.8666566421489	-1944.5254268352369	-55.77252842524946
35000	0.3897056622931744	-4674.158580542619	-304.7587486867446	-4369.399831855875	12.422610701095593	100.54989079057083	12.550706460107254	6.540549686161737	5.22071836850946	2.9481951490535523	2.0	2.0	5.0	6.0	5.0	7.101507638034579	0.6585636353119692	0.4678848053778568	1.8735515593101735	0.003093920201915208	-1233.4465486120187	-1188.4509583365345	-1947.5023249073222	-55.24932183574747
36000	1.374872149178824	-4669.017814078346	-301.08150198075066	-4367.936312097596	13.081161722696706	74.89440470500573	6.51179429135541	12.68547288235601	3.9609593077399974	1.8271719619312723	2.0	1.0	2.0	10.0	5.0	7.255150538429159	0.6408676848480268	0.5237487566523297	1.8353835584996427	0.0030401564080568314	-1235.0229466925591	-1191.4838392846066	-1941.4295261204297	-51.610002129426626
37000	1.099157964730008	-4669.012187350464	-302.4115996149834	-4366.600587735481	11.547985971556317	235.59130661151556	80.32417816015999	10.71752992933334	2.0501081451030307	1.5081730843788947	1.0	1.0	4.0	6.0	8.0	9.223634262867359	0.6408676848480268	0.6356233170866683	1.723508998065304	0.0034186257128386356	-1234.439524069277	-1195.9544957959858	-1936.2065678702184	-50.12996369815101
38000	0.4564936533454546	-4673.657860279386	-309.4719845177353	-4364.185875761651	10.896342947073725	30.17432856568153	30.49411202546148	4.832674502455803	3.167020627776014	5.62206851372921	1.0	5.0	6.0	1.0	7.0	9.043157399769537	0.673199067805924	0.5054219459880958	1.8213789862059797	0.003294291445746262	-1231.8109157768408	-1191.0180487474838	-1941.356911237326	-60.45215545491893
39000	0.48400872880121953	-4667.374757924952	-303.17566850347754	-4364.199089421474	10.568010461131328	232.07527639215314	11.234746639523545	9.71841231441845	3.588335109310663	1.252322343688205	1.0	7.0	4.0	1.0	7.0	8.997961124477229	0.5469626124201319	0.5969115639580476	1.8561258236218199	0.0035410435951335633	-1233.8746508198728	-1191.454441657049	-1938.869996944552	-52.22364526547333
