# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153561734]
state	age(DUCK_HONGKONG_Y283_1997)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
12000	7.555899269741586	-4731.530664986819	-359.0663450611713	-4372.464319925648	38.03942931465204	386.54319915421956	77.63724566121618	60.920021557864956	50.68210790797689	43.20912412171625	5.0	2.0	3.0	3.0	7.0	8.341950571268526	0.636966260590198	0.5639854415479866	1.7990482978618154	7.521257112314206E-4	-1234.8747928034393	-1196.7630625543861	-1940.8264645678228	-99.71484715385783
13000	6.657314756391953	-4731.442822334606	-355.1551657767734	-4376.287656557833	35.529009911065394	338.7224274247591	110.16532551345708	55.13183108121606	64.92885034925746	57.68181880818589	1.0	1.0	9.0	6.0	3.0	9.433643625186667	0.5888276335445474	0.5491808021474625	1.8619915643079903	6.712609874488944E-4	-1235.4838757851494	-1198.197968163227	-1942.6058126094563	-95.22523982143625
14000	6.956779836633362	-4722.312262171901	-349.2537989833856	-4373.058463188516	32.617143888031336	408.14981124681475	483.38455142168283	17.385189713887094	23.608407448483906	25.114863943427036	2.0	1.0	10.0	1.0	6.0	8.867968437542483	0.5664509583539936	0.5715574773380162	1.8619915643079903	8.717071503542136E-4	-1237.6456708137969	-1195.1568114629351	-1940.2559809117838	-88.9494735025291
15000	7.708996860809632	-4723.13443525422	-349.74395659112145	-4373.390478663098	31.896974406228278	810.6224775378798	394.34296070061197	32.127663559947116	10.457694579580203	9.041071381133928	2.0	1.0	5.0	4.0	8.0	9.991648086832043	0.5698353332488572	0.6479052148957297	1.7822594518554133	8.456120238703091E-4	-1238.5282010614249	-1194.163220432046	-1940.6990571696276	-90.23583361411889
16000	7.656893542489925	-4723.253520314258	-348.0069443977593	-4375.246575916499	34.70669252681526	329.96319496722214	250.6469729822561	46.16676814103602	9.900197013749649	24.557112603003784	2.0	1.0	5.0	1.0	11.0	9.018765849359509	0.6858593465406917	0.5016295679007479	1.8125110855585604	8.343890131682324E-4	-1237.3810738607372	-1192.6715896433018	-1945.19391241246	-88.66358230059997
17000	6.656591842479186	-4724.341162394458	-348.18012680712144	-4376.161035587336	33.34716364232001	351.76026493409483	751.3550298744372	68.71270840687403	9.54524612637761	21.65834643080713	1.0	1.0	3.0	2.0	13.0	7.780272842719398	0.5553254243931833	0.5484543709343707	1.8962202046724461	8.600900452872939E-4	-1235.740769780095	-1196.9180868870646	-1943.5021789201764	-86.40089838972563
18000	8.043988509647628	-4720.698649125724	-349.6069980436217	-4371.0916510821025	29.820550040675798	1358.350160706684	1544.0733590868758	35.28454415768936	28.859470890302518	16.803843792771335	1.0	1.0	3.0	2.0	13.0	10.781796893760221	0.603306046120354	0.5004737492071998	1.8962202046724461	9.246799409485804E-4	-1235.276712415337	-1197.1727885445794	-1938.642150122186	-85.71476481862082
19000	6.492258007211802	-4723.5196659365465	-349.6051996893797	-4373.914466247167	30.993895848705343	869.2074457858497	283.80015137868276	106.70780843266373	38.37032616658973	13.226214164285697	1.0	3.0	2.0	2.0	12.0	10.807442120699934	0.6160825153327874	0.5113452041595927	1.8725722805076195	9.062488591339711E-4	-1239.1720235799796	-1194.8939491856406	-1939.848493481547	-88.05885977925576
20000	6.125038999177922	-4725.495669936296	-347.3051053038555	-4378.19056463244	27.28220654359126	375.1557153879426	284.31562191342647	31.383085495036035	58.94768973231184	10.145016571379545	1.0	2.0	2.0	1.0	14.0	9.418633993373165	0.6357931948286174	0.5113452041595927	1.8528616010117895	9.641240593031065E-4	-1236.2386085775086	-1194.178075719213	-1947.7738803357188	-86.85754886182336
21000	7.00119888176077	-4721.9486063547165	-346.50039372702025	-4375.448212627696	28.927984780486046	269.7905929434058	207.56286095188207	60.744957357606005	24.978032883391336	18.195993126371018	3.0	1.0	1.0	4.0	11.0	9.405390624907213	0.6357931948286174	0.5827407213334042	1.781466083837978	0.0010354139058638555	-1239.2184710104175	-1191.711540419095	-1944.5182011981838	-87.94351306630271
