# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532291]
state	age(DUCK_VIETNAM_272_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7707.199476714946	-365.66280321184365	-7341.536673503103	117.71196034600604	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1761.2720391406203	-1662.7503172236318	-3917.514317138851	-109.4941607390697
1000	3.0405782662943883	-5141.468398344434	-378.33684362923157	-4763.131554715203	62.6095586482467	175.38049494085558	130.10445229764804	60.02334959828419	123.62946297915316	65.13546874686844	1.0	5.0	2.0	6.0	6.0	1.4583264449462519	0.5749821483608066	0.49619537650139656	1.9288224751377971	3.9235858035594905E-4	-1295.7047488186722	-1220.2873596348932	-2247.1394462616367	-119.79703058210652
2000	2.3500916506060125	-4816.02114853794	-353.567751303749	-4462.453397234191	37.56789164422963	238.91117717460443	37.34579741163578	28.51895863147339	82.6422296360995	80.84898199964813	2.0	8.0	5.0	3.0	2.0	2.2459511732372057	0.5912264879108167	0.4869240608904706	1.921849451198713	6.870730292772439E-4	-1260.7862984346232	-1199.474251829082	-2002.1928469704858	-95.36655577986562
3000	1.6636492373533334	-4738.661332682955	-356.8154564069912	-4381.845876275964	40.04052523776146	473.99615015513996	61.7710174149936	21.390760671903795	34.32740987984511	54.024174258530884	2.0	5.0	3.0	5.0	5.0	9.115038212279426	0.5928295138284048	0.54848283252924	1.8586876536423553	6.008304676842566E-4	-1237.6133595647466	-1199.638451079411	-1944.5940656318064	-97.64710612176466
4000	1.397564075632332	-4722.885078973344	-343.0922657828716	-4379.792813190473	27.006245097895857	347.25138676205916	63.96127600211412	19.697340626160518	8.496187775770998	15.075061566112163	2.0	1.0	6.0	2.0	9.0	8.839654277452743	0.5715245439312655	0.5812418840467455	1.8472335720219892	8.142385648077012E-4	-1238.467479439422	-1194.9445300127518	-1946.380803738299	-86.97821221234067
5000	0.7905395400781912	-4723.9924914846815	-347.35063813774144	-4376.6418533469405	24.52468949910814	552.3033737968453	62.240294082385766	25.058619398448176	12.358488795835372	46.76099915737464	1.0	4.0	7.0	2.0	6.0	9.528451419970477	0.631628337963398	0.5738221859094448	1.7945494761271577	9.476183495026964E-4	-1236.941541313927	-1195.1994110712562	-1944.5009009617575	-87.55088679425221
6000	1.0296059604923362	-4722.151089329885	-344.10158703876374	-4378.049502291121	28.497223999277722	321.44336704031565	73.77444722962852	41.23597082111572	24.180171594633283	16.8307157833158	1.0	2.0	9.0	2.0	6.0	9.206604811450694	0.6315481758155324	0.5225442469674214	1.8459075772170468	9.684140343611738E-4	-1235.750248135062	-1196.5047787306369	-1945.7944754254222	-86.80076121375537
7000	1.7750027274670597	-4724.812168079462	-347.9007245114216	-4376.91144356804	28.403611550346422	894.796141257745	98.03344156510363	17.23701604576042	29.96060257006934	22.76266470696229	2.0	5.0	6.0	4.0	3.0	11.453164227165113	0.7127943766077653	0.5183744548140161	1.7688311685782192	0.0010825408970011538	-1237.9470406069693	-1195.954486222221	-1943.0099167388494	-87.9952107322512
8000	0.41856797673117874	-4723.235814224593	-344.93507265916094	-4378.300741565432	35.24050276329118	1871.4599746731803	54.39089479837608	20.88188527291776	14.490336833071334	26.263011130496114	1.0	8.0	4.0	6.0	1.0	8.787540177125319	0.6168486639572641	0.46424120752967285	1.9189101285130636	9.150476208111968E-4	-1238.00794495679	-1197.8507045873057	-1942.4420920213356	-84.80636463581938
9000	0.24028695199581418	-4718.274606884955	-341.74236476591614	-4376.5322421190385	26.180840779491884	483.5138703039156	18.52046308393544	18.200535963863125	15.428991163588456	12.638592021302243	2.0	10.0	1.0	4.0	3.0	6.736067914615455	0.6324778013401438	0.4486120701467933	1.9189101285130636	9.788344033499047E-4	-1235.150333167248	-1193.6858436336151	-1947.6960653181757	-85.96974638436897
