# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532075]
state	age(HONGKONG_1997_1998)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	7.0	-7366.187300918107	-368.88526100542435	-6997.302039912683	160.6185139302071	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1680.1680116212967	-1579.5211511300156	-3737.6128771613703	-112.71661853265036
1000	7.714856064924635	-4973.341791752153	-374.6750535072283	-4598.666738244924	93.36619171923101	316.17938327559455	72.62264396097495	56.917129485968594	74.77704909760405	80.45881267919239	6.0	2.0	3.0	5.0	4.0	1.1679911339454414	0.6441575312985234	0.5439902378756771	1.8118522308257994	2.612811955331279E-4	-1269.9277264294522	-1222.5203102428884	-2106.2187015725835	-116.7040583413816
2000	6.658519657117484	-4792.789443594595	-371.1747072138952	-4421.6147363806995	66.21359832124934	229.774216127176	121.5057440907271	197.3903329959092	36.959169367329615	20.700638130362954	3.0	7.0	6.0	1.0	3.0	2.7653746397648913	0.6594407331426222	0.6190237388697538	1.721535527987624	4.056446493565817E-4	-1241.4561812132008	-1199.4349765959719	-1980.723578571526	-112.429195275318
3000	5.939702235815102	-4743.798735770454	-361.1672697767792	-4382.631465993675	43.55035980211049	193.87007584501458	61.93261134190234	101.61596801760828	18.213408360636738	4.157871480749443	2.0	6.0	8.0	2.0	2.0	5.97044805608588	0.5786278356954955	0.5837507608382988	1.8376214034662062	5.245805823055993E-4	-1232.0283840410075	-1193.468330620332	-1957.1347513323356	-104.57042770089616
4000	3.0632580921474375	-4724.006880962245	-350.87388601644034	-4373.132994945805	36.82325075897368	261.512488158831	36.701819695808375	55.1887050104998	31.58410705722395	0.7300028055538641	1.0	1.0	15.0	2.0	1.0	7.880633909816623	0.5786278356954955	0.5223165255119199	1.8990556387925852	5.892872454041795E-4	-1235.3740334260285	-1194.691676616432	-1943.0672849033444	-94.1123103635349
5000	3.341163481927448	-4730.9374256606725	-353.25878724404805	-4377.678638416624	40.89686043829788	181.58144104497944	101.49385508103728	65.40152086869772	12.791934542867052	1.1501931033871629	1.0	1.0	16.0	1.0	1.0	10.04148339166927	0.5868799948822079	0.6866072345113181	1.7265127706064747	6.729134222782447E-4	-1235.2700084176117	-1199.4716585388849	-1942.9369714601278	-97.451946702902
6000	3.2931738947291023	-4730.885422645184	-356.3401229003329	-4374.545299744851	39.206157301939676	137.07786377398776	123.53889046894759	51.69955102112456	50.62788171074892	1.1473953447674037	1.0	2.0	14.0	2.0	1.0	8.047518172536556	0.6281541703126619	0.6900118139417873	1.6818340157455516	5.998244483208977E-4	-1235.1855249052808	-1195.9879702638818	-1943.3718045756884	-99.14698998804973
7000	2.8105217292754148	-4733.747908012182	-352.8351039157718	-4380.912804096411	37.121177257036024	199.70047418399264	50.41403453864505	48.75501706305693	7.298576072797093	2.5806516645229816	2.0	2.0	14.0	1.0	1.0	10.835136474859404	0.6533041718680808	0.5815240687662484	1.7651717593656715	6.411407905460095E-4	-1234.6342706777211	-1198.1170611766959	-1948.1614722419938	-98.08258391207235
8000	3.088303876419979	-4724.513541528824	-350.63089976545115	-4373.882641763373	35.10675024455933	203.4861333204397	43.0745478416536	41.222662736315804	15.300050870159932	6.0380962976079555	2.0	1.0	13.0	1.0	3.0	10.213078060822053	0.6044410773581225	0.5572036091039513	1.8383553135379267	7.163246196839075E-4	-1233.374832549341	-1191.9263792235843	-1948.5814299904478	-95.27325686519502
9000	5.2679400467030355	-4723.5598140600005	-350.9054865260284	-4372.654327533972	33.58260470803813	397.2300822942233	34.348744461814505	32.9402157647573	10.2445783404796	26.562295759259687	3.0	4.0	10.0	1.0	2.0	11.052065632514706	0.5851610169105095	0.5552560282849546	1.8595829548045368	7.473082354412179E-4	-1234.228756682462	-1196.255233187846	-1942.1703376636642	-92.96803609737172
10000	4.359508730337123	-4720.067637801703	-346.2139147170029	-4373.8537230847005	29.84456475232432	223.54153150987273	59.658916792736726	24.654437026133163	18.573084563093033	11.90217311150959	2.0	1.0	8.0	3.0	6.0	9.559256229563212	0.6176935365617335	0.5234153079851497	1.8588911554531178	8.481739530528947E-4	-1232.3960282680882	-1191.4485989952022	-1950.00909582141	-90.58908437260565
11000	8.123372674468742	-4716.647552718976	-342.43624529295283	-4374.211307426023	31.232055702267846	123.69335062650843	26.851965654752828	30.33846463283463	21.987969170619973	16.68407577022341	1.0	1.0	10.0	1.0	7.0	7.152773395295182	0.5699170763378243	0.6166313323909871	1.8134515912711897	8.323766079235137E-4	-1238.5796505120582	-1192.1449101232329	-1943.486746790733	-87.95090997027046
12000	6.975669905394501	-4720.186307598976	-346.49125960217754	-4373.695047996798	29.584342498524087	190.70237048064882	20.883801127519806	40.016174756776735	67.75613975972699	47.87718514682672	1.0	7.0	5.0	5.0	2.0	7.89661246717053	0.5779485731521412	0.6674565355993858	1.7545948912484741	9.996545232593267E-4	-1233.558678530648	-1194.9334166039444	-1945.2029528622056	-88.29524228575292
13000	8.788786705607599	-4736.343714605925	-357.49038450723754	-4378.853330098687	35.734018339520574	161.67011232063135	54.10389247938038	69.44521197631599	43.37142477945869	95.79454679060294	3.0	5.0	8.0	1.0	3.0	10.401974944638788	0.6702491975264113	0.5304823935639021	1.799268408909688	8.786679559707012E-4	-1235.8557388045651	-1196.761812637917	-1946.2357786562047	-98.2660660531321
14000	5.858000973354907	-4727.849866841151	-354.32008684731323	-4373.529779993838	34.14933708198701	79.39297630807548	19.020631492006967	33.67232785131091	85.1276176828639	86.7489271047686	8.0	2.0	5.0	2.0	3.0	12.744905933640544	0.6199388198540441	0.606481333036377	1.77357984710958	8.108125988746568E-4	-1234.5388838777274	-1196.847210176074	-1942.1436859400364	-96.3042291109704
15000	6.331568933434096	-4729.0472106612515	-356.9841685305061	-4372.063042130745	29.937930205982152	133.50035486046167	44.572246170010196	20.44567506945824	127.38488525726501	116.51505743784574	2.0	9.0	4.0	2.0	3.0	8.67573300729683	0.6177998499642217	0.544434661206765	1.8377654888290145	9.576600284507292E-4	-1235.2929927162213	-1191.75728998421	-1945.0127594303135	-95.17716621278183
16000	4.377310768884928	-4717.035288814541	-345.52334265238403	-4371.511946162157	31.429718776068054	71.95161203760972	16.51415644951243	25.430943754009828	23.56422325305633	41.98856850017744	2.0	10.0	4.0	2.0	2.0	8.737854418810894	0.5783590967581087	0.633016679920066	1.7886242233218264	9.295463292866703E-4	-1232.8478069492157	-1194.3853235782528	-1944.278815634689	-90.86732672703931
17000	2.8032325116631096	-4718.2580835867075	-343.5450462739633	-4374.713037312744	24.969305039623663	246.55340754496632	15.78381222439458	37.064110766942655	5.501457770635597	19.680376521412768	3.0	6.0	8.0	1.0	2.0	7.76671162597585	0.7377940520988084	0.47358172457936637	1.7886242233218264	0.0010625166677388892	-1238.1379505260363	-1199.894351965835	-1936.6807348208727	-86.00689927265968
18000	5.712116143668767	-4716.247486353361	-343.1341136264765	-4373.113372726884	33.40115283894174	176.80272922654368	59.898978700254695	38.71789733561936	11.700456306710713	15.83162173418494	2.0	4.0	11.0	2.0	1.0	9.686435274493977	0.5830301086136533	0.4771525742714219	1.939817317114926	9.665494956115603E-4	-1232.220908505332	-1196.8634346396784	-1944.0290295818743	-87.40576800876889
19000	6.296604268460841	-4720.445179172388	-345.2662640621745	-4375.178915110213	29.04536885609017	150.618118302358	77.34781104711003	30.244877888848038	13.217398169112977	4.025974430059176	4.0	1.0	10.0	3.0	2.0	12.534635702777118	0.5353602022037733	0.5248224806813019	1.939817317114926	9.623984089240408E-4	-1235.1586794638597	-1197.8837384011847	-1942.1364972451688	-90.46442110976515
