# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153531757]
state	age(TREESPARROW_HENAN_4_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-8411.014252881938	-374.7535040088646	-8036.260748873073	468.82030609571405	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1925.0160219057857	-1855.3209940312277	-4255.923732936059	-118.58486153609059
1000	0.730998877716921	-5088.073519880303	-369.1872822744424	-4718.8862376058605	42.571724612755	287.0202671640705	195.8439667097737	43.128613685714704	78.40343345479968	121.84707616405684	7.0	1.0	2.0	4.0	6.0	3.086606938590907	0.531141180827783	0.42259898612168856	2.046259833050528	6.63154369444255E-4	-1305.401554341646	-1229.645370153878	-2183.8393131103367	-108.80466589836374
2000	0.6689725707506509	-4769.316705735075	-366.18406540957625	-4403.132640325499	34.75578817557266	120.37323343486548	211.2680403770386	197.3191558361543	80.76228281442683	101.86410244410712	5.0	2.0	2.0	4.0	7.0	5.717303165351799	0.5735060919014354	0.5232237017264896	1.9032702063720748	9.439977150645292E-4	-1249.378812009449	-1192.6853614110194	-1961.0684669050304	-105.21173990787389
3000	3.038078603267839	-4745.365105338743	-355.57828652701875	-4389.7868188117245	33.11308516923961	282.3885486456938	412.75644014848064	441.4171817457474	34.905275264360895	23.014631231273892	2.0	1.0	1.0	4.0	12.0	8.66174624068777	0.6515420297729357	0.5922380877691296	1.7562198824579345	9.82313989648937E-4	-1241.0872748597722	-1198.2330401402432	-1950.466503811709	-92.93928724386743
4000	4.883840198650043	-4727.865961260986	-358.2080991210754	-4369.657862139911	23.72490088153687	767.8656534068	596.3698934211862	528.4106317141402	36.030962386063074	44.499177493287476	1.0	1.0	2.0	2.0	14.0	8.051397822094	0.6740646626369029	0.6341157329000506	1.6918196044630465	0.001090352867063328	-1232.9194120216143	-1194.0536363601714	-1942.6848137581258	-93.36548333387933
5000	5.039828535826441	-4720.360582199047	-354.2601270022256	-4366.100455196821	26.313196444227486	398.7848231828435	459.1807614521679	534.8345462001173	59.343798138217245	22.334479423223673	1.0	1.0	1.0	6.0	11.0	8.34075518184257	0.6038148807450144	0.5988736082797077	1.7973115109752777	0.0010173632463746291	-1229.8390518764652	-1194.1331483550787	-1942.1282549652772	-90.60534812087708
6000	7.858137921740519	-4731.415145936576	-353.22687237632124	-4378.188273560255	24.959127524394052	793.5210467481799	377.9776076401321	156.7441277244454	76.14000329266453	20.374755637897017	1.0	1.0	3.0	4.0	11.0	9.805155214041232	0.6364535819899353	0.6088980618457133	1.7546483561643513	9.879701541531435E-4	-1233.9771052498804	-1196.582483094224	-1947.6286852161502	-90.36609418386728
7000	8.160334323698619	-4715.693686640613	-339.4470441655024	-4376.246642475111	22.92401634771439	225.8751045779746	96.73391915353763	75.56804504599724	22.752220038108334	8.676050561026438	1.0	2.0	1.0	6.0	10.0	9.408848910195623	0.6573204047595509	0.589236174093416	1.753443421147033	0.0011629284310387157	-1235.793082687702	-1200.4589153291183	-1939.9946444582904	-82.19339150631374
8000	10.005036122478556	-4708.761011501536	-333.0896857170651	-4375.67132578447	21.427947546906033	176.7728692764819	104.8430046034766	29.88226683369136	20.163488089070498	8.574685122483125	2.0	1.0	1.0	4.0	12.0	8.238701080016822	0.6573204047595509	0.6199798980856391	1.7226996971548099	0.001260654728531527	-1234.9611575781212	-1202.2482386730023	-1938.461929533347	-77.34086367120075
9000	10.02170655409711	-4708.519979758339	-330.5041081282632	-4378.015871630076	22.200271157042547	163.03070439937352	35.47949487064566	8.140290187610308	16.191703840343706	13.68245488839161	2.0	2.0	2.0	3.0	11.0	9.374444837223763	0.590635458485899	0.6221023587695523	1.7872621827445485	0.0013808502214789679	-1236.0904799096425	-1202.8315707707338	-1939.0938209496994	-76.0882829016804
10000	8.40022390062099	-4708.774452137902	-330.3317465777643	-4378.442705560137	22.017039491178416	140.78195308425674	10.699776829743545	25.474235977742424	31.5213202316877	8.638301926812055	1.0	2.0	4.0	2.0	11.0	12.095083795200427	0.6028836353565029	0.5489147864440214	1.8482015781994756	0.0014805109511514265	-1233.9165050555532	-1202.561016509235	-1941.965183995349	-74.65921049206952
11000	6.959700486956047	-4698.945863015188	-328.78231564964267	-4370.163547365545	18.230561944361664	189.7244283460748	6.755040627981571	15.80565456432029	21.094164750324914	4.5291584410850705	1.0	1.0	5.0	8.0	5.0	8.27714524660957	0.5646866446913845	0.4884864015393479	1.9468269537692673	0.0014901848645098715	-1231.6723891606116	-1196.8528823825459	-1941.6382758223876	-74.27476656453925
12000	4.499110772192231	-4699.317684056228	-328.1149945681859	-4371.202689488043	18.90032905675986	99.8434340111786	53.28168793883019	20.730914732585866	7.228408247196637	4.345202475522988	5.0	1.0	3.0	10.0	1.0	9.757369841643357	0.6233040749434036	0.4582968740748704	1.9183990509817257	0.0015229130319959934	-1234.0312478076607	-1197.5361741674828	-1939.6352675128992	-75.51347809820628
13000	3.4017444955502842	-4705.555841787638	-329.49946484096614	-4376.056376946672	20.790686247016076	62.43811368212946	29.505131114170613	25.331329975399292	11.719021138818484	8.872484582170031	3.0	3.0	5.0	8.0	1.0	10.980839176643421	0.5116588567623893	0.5159997779152086	1.9723413653224016	0.0015544973031210894	-1235.9123792929965	-1195.2683766382747	-1944.8756210154002	-76.9478119773747
14000	3.916584592894997	-4700.803131770548	-330.12022578840947	-4370.682905982138	18.07412267645833	130.99215172927788	7.896104001963724	30.146883655849095	5.266217379031963	14.51724614316388	5.0	5.0	2.0	7.0	1.0	9.65183185926708	0.6097391721593083	0.5353497557234174	1.8549110721172737	0.0017535747407404734	-1232.695916979308	-1193.7611886626444	-1944.225800340186	-73.90094765373948
15000	3.9843534982538586	-4703.2567774133795	-324.9331879825591	-4378.32358943082	18.948022420509815	243.36080290451852	8.705317885763266	10.065063045962555	8.741393666256084	7.423742765158554	3.0	12.0	1.0	3.0	1.0	7.427596519825714	0.7406263693312225	0.5821460779186659	1.6772275527501108	0.0016229990306020337	-1239.1427638803434	-1201.1199997382803	-1938.0608258121963	-72.12959196557888
16000	3.148065524657172	-4693.91069268468	-325.24510491455106	-4368.665587770129	19.31272827608433	85.2105850598632	8.74306678124335	8.975291729288589	18.596806125932492	7.624828390338379	3.0	3.0	9.0	4.0	1.0	8.302043396964669	0.7406263693312225	0.5149115975221585	1.7444620331466183	0.0014760946594587867	-1235.4095938800237	-1194.9512411288424	-1938.3047527612625	-73.08294225438576
17000	3.0731669350196773	-4698.262601408421	-325.6679193520898	-4372.594682056331	17.49032750272438	134.1976429734113	28.25388619218102	8.323931092459398	10.690082613996726	7.574504829518166	1.0	5.0	9.0	2.0	3.0	10.525273262596336	0.4735130934339683	0.640954882250786	1.885532024315245	0.0014347863133949387	-1239.6162209748945	-1189.526815922863	-1943.4516451585732	-72.92935674989033
18000	4.03505022818117	-4691.154938752042	-324.2085609675893	-4366.946377784452	16.641494439414192	169.93148086229482	58.607483010274905	7.22085322236857	9.680022423437546	3.9818574507979227	2.0	3.0	4.0	6.0	5.0	8.717423204462607	0.552736853504977	0.5054010956251591	1.9418620508698627	0.0017125525977801435	-1231.162831978924	-1195.865159712899	-1939.9183860926287	-70.9760288599353
19000	3.323323896112638	-4695.557940521765	-327.5550254393884	-4368.002915082377	22.069326046241983	74.85646030847117	49.146523112378574	7.8740550326524765	4.551819688381395	4.116020741149921	2.0	2.0	8.0	4.0	4.0	7.085979642584738	0.6543149654608797	0.5703295858197066	1.7753554487194125	0.0015388079419981016	-1236.375676851076	-1196.245509824181	-1935.3817284071197	-76.93425086299095
20000	2.431349002697918	-4691.983742659563	-324.29283024881437	-4367.690912410749	17.40253402698707	104.66379607718092	33.87343620546071	14.721942383894197	5.059787731366357	8.526674605513097	3.0	2.0	8.0	3.0	4.0	9.96817610641495	0.5941371411867791	0.5275832307498554	1.8782796280633645	0.001897845064627617	-1233.0816902364982	-1193.4992798369556	-1941.109942337295	-71.8129910109735
21000	0.7169542323934395	-4686.051124727047	-317.20016510665766	-4368.850959620389	17.36110185357447	113.1942938056752	4.138379713792034	10.757162883408244	6.338235418465255	8.75734509129684	2.0	5.0	6.0	6.0	1.0	9.308427170884602	0.6156693057712023	0.5275832307498554	1.8567474634789412	0.0017445592279972365	-1235.261737544075	-1193.3976078917829	-1940.1916141845318	-65.00324179140075
22000	4.104901211469963	-4685.9397348233015	-320.7840133677771	-4365.155721455524	15.230287722085857	32.10893595132549	8.366620144037922	12.965615472830851	4.273436323613963	7.1190453446241415	6.0	3.0	1.0	8.0	2.0	8.054329232138455	0.5769207827660867	0.5663317537549708	1.8567474634789412	0.0020039622899859296	-1233.5461069277637	-1194.8017820570021	-1936.8078324707587	-71.5563220872663
23000	2.98638796608771	-4690.477811759067	-319.9851834110618	-4370.492628348005	15.184018493052557	27.104639204831226	34.75200830912511	6.4919359444471	6.140728833155188	7.039229422023904	7.0	1.0	5.0	5.0	2.0	8.461492133977389	0.6068612568332798	0.5377661329335582	1.8553726102331607	0.0020649543150507155	-1233.3384212531473	-1195.2790500151411	-1941.8751570797162	-70.19682799203116
24000	3.564000319070271	-4689.888814763567	-316.37142842000765	-4373.517386343559	13.596195913531712	20.686274768386916	7.441962097859109	11.929506430572797	4.369500648187114	1.4253581430032993	8.0	2.0	2.0	6.0	2.0	8.892517142461474	0.6371100793431562	0.5178647906434878	1.8450251300133547	0.002317744488187622	-1232.4341840001218	-1195.1063900586882	-1945.9768122847495	-69.25272791419175
25000	3.329963935629966	-4681.813323913321	-314.7486202196658	-4367.064703693655	16.547040997018186	64.70335864847944	7.497260105355268	8.375482214087418	2.4606510196145344	3.6338809665973995	4.0	2.0	6.0	3.0	5.0	9.10037153732535	0.6371100793431562	0.5178647906434878	1.8450251300133547	0.002374308029169539	-1232.3776339026044	-1194.5885402338276	-1940.0985295572232	-65.89829814735914
26000	1.0514147467538963	-4681.889049790971	-313.62000411043107	-4368.269045680539	14.902488060164279	30.36125798101761	12.407049515690073	5.855525113960046	1.4957155941417262	3.9472642384087306	4.0	1.0	9.0	5.0	1.0	9.742163916039791	0.7493814106468576	0.5006059063141218	1.7500126830390192	0.0024240480862366214	-1237.0391129012755	-1189.4959969155066	-1941.7339358637576	-65.79535870019036
27000	1.8859498537853372	-4679.38301722821	-313.2651548782062	-4366.117862350004	14.70383702510555	24.359796420715007	4.283624045178412	7.019649570884896	2.911761351787479	4.76323572825217	6.0	1.0	6.0	6.0	1.0	10.099688949619146	0.6995369614424247	0.5430826829296987	1.7573803556278753	0.002349934803415284	-1235.8511387073704	-1192.4891089207463	-1937.777614721887	-65.97077419521047
28000	2.580791676740085	-4682.077158110073	-313.5415735891788	-4368.535584520894	14.206102512666098	116.0519838412264	23.296598892955846	7.9652147155324595	4.2595158510568645	6.182213472454057	1.0	5.0	8.0	5.0	1.0	7.663661666606183	0.5436796280051678	0.6062814466104586	1.8500389253843725	0.002632371448747421	-1234.469558991299	-1192.7683652899168	-1941.2976602396789	-62.53715025741057
