# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:11 BST 2015 [seed=1430153530562]
state	age(MALLARD_VIETNAM_16_2003)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	2.0	-7830.61270661616	-362.3235154405784	-7468.289191175581	90.58500113128554	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1762.1269102574172	-1651.1997726047982	-4054.962508313366	-106.15487296780441
1000	4.091646019538428	-5060.020680201485	-372.86370763759464	-4687.156972563891	54.62293960193822	272.1402889701035	138.3863674304035	78.98254097370463	97.32919139938454	50.502073781787196	9.0	1.0	2.0	5.0	3.0	2.8830665748485553	0.5951485078262386	0.4052927368861528	1.9995587552876086	4.794996011436245E-4	-1281.6328151996054	-1221.1857747472668	-2184.3383826170184	-113.62591622739029
2000	0.42683681643879834	-4785.439836842185	-355.0989995553773	-4430.340837286808	32.99163660468007	109.160172567149	62.13182809890355	59.45430144918457	30.53134224109977	22.17945324543875	10.0	5.0	2.0	1.0	2.0	6.566434054295555	0.49840296782306504	0.5020382768893265	1.9995587552876086	8.151421303824555E-4	-1228.6702688378066	-1207.3877543088345	-1994.2828141401667	-99.1736056629234
3000	1.1337748850053266	-4721.2061659460505	-345.5644002991747	-4375.641765646876	23.99594563796881	79.83062369948809	33.337729836929114	37.16759147362744	22.752569256385673	17.83260440844027	8.0	5.0	4.0	2.0	1.0	8.51843528201093	0.6422706103381381	0.573459432903485	1.784269956758377	0.001065677417177051	-1233.8303078691147	-1195.478771734998	-1946.3326860427635	-91.22862868847567
4000	0.169382805358387	-4707.59239112634	-332.11828152501755	-4375.474109601322	26.180731533316102	135.87981989974	9.110017159220876	15.194497089846967	13.815664890438208	15.790226605145122	4.0	9.0	2.0	1.0	4.0	7.370399023122661	0.6306531269299033	0.540609750060419	1.8287371230096778	0.0010810807521420386	-1236.3124976664262	-1199.2811217146934	-1939.8804902202023	-78.695537655043
5000	0.9738689314134095	-4716.548295541843	-336.0850992750861	-4380.463196266757	22.696824731429736	208.21188263784	21.56416803638075	10.085764421553211	11.10330189733944	32.31267622850009	3.0	7.0	1.0	4.0	5.0	8.052352822465625	0.5892091772993149	0.5971458559862233	1.8136449667144618	0.0010157006526452363	-1239.8228070290947	-1194.7583779927097	-1945.8820112449525	-80.69176014044623
6000	4.670091763206866	-4720.332513230216	-342.54649177154977	-4377.786021458666	25.826516754479847	270.44779074145004	17.608486666440115	10.127874268230052	16.050907923358736	30.41034799931969	2.0	5.0	2.0	5.0	6.0	9.43840758571567	0.5734200766716305	0.6023924134725644	1.8241875098558051	0.001036953424066182	-1235.01914502666	-1194.5426834392263	-1948.2241929927798	-86.7638769974347
7000	4.454668822439785	-4711.691426345062	-342.3280442705063	-4369.363382074555	28.620528885599064	88.35259051213131	37.55644911077402	25.08118364622478	17.858315063804532	21.237161240318983	1.0	7.0	3.0	3.0	6.0	8.640937064332231	0.5647294347919902	0.5960779463004	1.8391926189076098	0.001004113156731522	-1232.2515885774878	-1193.190534103248	-1943.9212593938194	-88.22579629887831
8000	3.629383123640516	-4718.624618321516	-343.47974386384544	-4375.144874457671	22.986640203308863	117.43275109946384	15.978780185911178	49.82597251011507	17.102161937866416	48.116167534970344	3.0	9.0	2.0	1.0	5.0	10.000333231815667	0.6221690307146717	0.5386383503777186	1.8391926189076098	0.0011172447074938728	-1236.1652884921123	-1197.130187118632	-1941.849398846927	-85.4568621084602
9000	2.7602445788020935	-4711.7276956911555	-340.8485981586891	-4370.879097532466	23.3242720520429	132.91733091824923	38.94691982064159	18.049066668674406	24.427657929771044	42.84539278104634	2.0	8.0	3.0	6.0	1.0	9.355821951402037	0.6205691283671325	0.49389923878848163	1.8855316328443856	0.0011701249648543755	-1234.4408556483802	-1194.988368831683	-1941.4498730524028	-84.9598088169726
