# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(TREESPARROW_HENAN_3_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	1.0	-7869.00100125095	-362.78658799789264	-7506.2144132530575	150.65189246596424	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1768.8228940415872	-1680.7958611589422	-4056.5956580525285	-106.61794552511861
1000	0.2089105001497713	-5051.125076979359	-377.33349779172147	-4673.791579187638	66.6312596182395	280.01781905916437	206.5098848980217	186.98338912182874	26.953757513182588	33.55554359413444	2.0	2.0	7.0	2.0	7.0	3.4021998020368223	0.5086767153342586	0.5686884383355546	1.9226348463301866	3.6483526854363057E-4	-1287.7762196317021	-1239.39202238516	-2146.6233371707754	-117.69335478694258
2000	0.4243107552571219	-4817.511742533723	-382.2731110181144	-4435.238631515608	75.93778408577838	501.75909360565015	331.19718691226217	118.16735837844473	34.53530521565643	15.971156647442038	5.0	3.0	6.0	1.0	5.0	7.1817753997041684	0.65982633457537	0.46079158041356577	1.879382085011064	2.7026714368277036E-4	-1246.1877364143263	-1192.0078291061861	-1997.0430659950957	-121.71843984792469
3000	0.2290592768122639	-4810.357783617721	-384.2649067886397	-4426.092876829081	82.72113267613702	482.34716387947833	559.1848256980286	159.59796279507768	9.619646277590402	12.388937352235478	7.0	2.0	7.0	1.0	3.0	7.7443680238640695	0.5327181441376465	0.6146812754256624	1.852600580436691	2.944259101904657E-4	-1240.8795345610945	-1197.990016939607	-1987.2233253283803	-123.14629367403471
4000	0.5670285901278005	-4770.9322022361475	-383.0268439060901	-4387.905358330057	77.05638225141294	527.5191872171782	514.6771744021099	141.06417474852475	14.191196841894614	26.02475965773255	9.0	1.0	7.0	1.0	2.0	8.895284419859076	0.6208809733142417	0.5017800841712736	1.8773389425144844	2.709475807626005E-4	-1236.6461956794587	-1195.5384456538434	-1955.7207169967555	-121.01686011236714
5000	0.8125783264096971	-4756.171551424065	-382.9279737410531	-4373.243577683012	96.61990718669239	655.494652958993	621.5076373401379	97.36650338058705	36.025031826448924	16.46479465622896	5.0	4.0	8.0	2.0	1.0	7.9364058326581315	0.6401094095605769	0.5199836799011934	1.8399069105382293	2.2643265152382032E-4	-1237.2312921653386	-1192.2258503571147	-1943.7864351605583	-121.10053507805387
6000	2.1999521069322894	-4763.802277679749	-384.07666665569127	-4379.725611024058	90.74607635120496	631.0065218042625	617.7131575478846	76.16752686675599	53.948762556748534	12.442873311057747	6.0	2.0	4.0	5.0	3.0	8.600900914211302	0.6799380607101186	0.4457374718371222	1.8743244674527588	2.549242794282794E-4	-1232.9277968852348	-1195.4318941050822	-1951.3659200337406	-121.98349181916863
7000	2.117457766127268	-4764.596390014088	-381.01773330089065	-4383.578656713197	89.75254202681924	420.87301591818067	371.2049565907676	77.60533951339306	46.15214338036753	5.078386852266624	4.0	4.0	8.0	3.0	1.0	8.204980497611356	0.6258378024851283	0.4457374718371222	1.9284247256777491	2.6794971636682856E-4	-1240.5381039709305	-1193.4516378203082	-1949.5889149219586	-120.67369603320057
8000	1.8624148088455301	-4762.035793868547	-383.56990943051755	-4378.46588443803	93.86114686597857	809.6655032565695	1046.1193506534019	127.9144548387874	36.600367648666406	11.151658622600774	7.0	1.0	9.0	2.0	1.0	10.610368591123887	0.6258378024851283	0.6526362003493762	1.721525997165495	2.4853120833473653E-4	-1236.94161099675	-1195.00695971642	-1946.5173137248598	-120.14693048983472
9000	0.00386610344546523	-4768.397128504763	-385.8008901287992	-4382.596238375963	111.83639240775858	587.2065717982045	718.3406170386706	133.6992869747268	65.12329596275703	12.485871494467007	1.0	5.0	8.0	4.0	2.0	9.46312560080621	0.6671534846165356	0.48036761683855755	1.8524788985449065	1.8988876220614603E-4	-1238.715939844246	-1197.440317443357	-1946.4399810883606	-122.80715010498675
10000	0.4272257102083117	-4778.595316180882	-394.4577357962073	-4384.137580384675	124.7737172295045	430.6455652318767	383.60699926546687	172.62055088372637	367.7424230441513	64.49066821001884	1.0	6.0	9.0	2.0	2.0	8.404714395078056	0.5370126056348391	0.6128556792539449	1.8501317151112155	1.7113773022117484E-4	-1235.5410459047048	-1196.161398502818	-1952.4351359771522	-129.28528006103252
11000	1.2897377707830788	-4767.845424776557	-391.61920829355915	-4376.226216482997	114.08853276064836	1223.015973912351	620.8915070293543	180.47026413701906	266.0198982652591	48.295241687349616	5.0	2.0	8.0	2.0	3.0	8.771704009453241	0.5571944036574139	0.6613313955314618	1.781474200811124	2.0396605940606685E-4	-1237.4255077347111	-1196.1371304852087	-1942.663578263077	-125.30680369027793
