# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:10 BST 2015 [seed=1430153528940]
state	age(PEREGRINEFALCON_HK_D0028_2004)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
13000	3.950304702665046	-4728.021529309096	-348.9482509736472	-4379.073278335449	35.93175838387191	419.68402666306844	130.23827690416772	21.72590992521214	63.39885521931364	10.01993713073499	2.0	1.0	8.0	5.0	4.0	7.277000934797087	0.6191980440497217	0.5494182970017277	1.83138365894855	7.337786296841422E-4	-1235.36721663711	-1195.9227249475746	-1947.783336750764	-88.97539237713609
14000	4.585794474100866	-4724.5448319871875	-351.3265496961715	-4373.218282291016	37.47339907126091	717.4918228541945	89.82207548098333	15.505179670669225	25.228484168668075	20.30174500667979	2.0	1.0	11.0	2.0	4.0	7.551590524105578	0.6191980440497217	0.577810409888884	1.8029915460613937	6.842533900228341E-4	-1236.7279693933183	-1194.612453628363	-1941.8778592693347	-92.69815484868343
15000	6.806327757160889	-4724.978642472348	-348.774148088557	-4376.204494383791	36.25680899570083	259.99191909618594	31.899365312596863	18.599472360779654	26.578275372278682	13.235450476652673	2.0	5.0	8.0	3.0	2.0	8.08777455522079	0.4915458565033216	0.6626956102125819	1.8457585332840958	8.374256432634087E-4	-1236.3460585263824	-1193.9775854157563	-1945.8808504416518	-93.00544964093193
16000	5.195199363613125	-4721.457667069405	-344.77476485145155	-4376.682902217954	29.03065978779791	343.9281760687567	53.27169723713582	25.432944599861866	16.819635131403842	22.62230812009197	1.0	7.0	5.0	4.0	3.0	9.886817695315504	0.5241929862194095	0.5530088990129316	1.922798114767658	0.0010065959648063471	-1232.1223011446236	-1195.6344274949165	-1948.9261735784137	-87.87155207327844
17000	5.762415539464033	-4716.2738849279385	-341.9847035248358	-4374.289181403103	27.35499922710321	376.62366352559235	246.0378460877989	25.076742517274536	10.435013700179447	13.727244034905446	1.0	1.0	7.0	5.0	6.0	8.678631580085503	0.510872572210257	0.6024495987297496	1.8866778290599924	8.566759895048709E-4	-1237.674797138404	-1188.3012093366588	-1948.3131749280403	-84.14342812060687
18000	6.282754273866735	-4710.945466744422	-339.0901963287528	-4371.85527041567	26.323949685679203	415.67048949572523	215.06227231311647	25.822355156985523	14.192677126926268	5.486373861731673	1.0	1.0	10.0	7.0	1.0	11.149077910745248	0.5504547336649578	0.5308043157464758	1.9187409505885653	9.980730332829588E-4	-1236.8656288777079	-1188.893777657049	-1946.095863880913	-81.51200330457988
19000	5.951523250615917	-4715.668793429003	-340.92988542186833	-4374.738908007134	25.6701787782431	621.0253076301694	99.65670884183777	18.55961774223705	20.513374971951176	11.594698075706063	1.0	1.0	5.0	12.0	1.0	9.523236960574764	0.5738752979259286	0.6307818761663847	1.7953428259076856	0.0011245714887390611	-1234.0639628174463	-1191.4116162512407	-1949.2633289384478	-82.9938987622705
20000	4.4976885260561765	-4714.404207714899	-340.2616248953535	-4374.142582819545	25.598912935769825	584.3377842049294	206.34001371558966	13.821867939186832	19.520729603260794	13.02791818704247	1.0	1.0	7.0	9.0	2.0	8.735633645444024	0.6699974267346617	0.6338683061649372	1.6961342671004003	0.0010215090978021829	-1234.7092687757306	-1192.9492729412295	-1946.4840411025853	-81.66769228702691
21000	2.186499765471003	-4725.100919701342	-349.2185772376788	-4375.882342463663	32.651595222778006	1646.0896665487542	500.8126583152696	33.98496845463325	25.655048076051305	9.478424019532868	1.0	1.0	8.0	7.0	3.0	10.496133079352717	0.6133789289517622	0.5901282398985843	1.7964928311496529	9.877344979605308E-4	-1239.1168263561754	-1198.4116001481016	-1938.353915959386	-87.31340057658531
22000	0.6595643718239028	-4719.911229039072	-347.2494121385697	-4372.661816900502	30.052538540924175	708.0603972611127	315.75662295229677	35.45535799114744	15.540698444310017	6.4788328179742445	1.0	1.0	8.0	8.0	2.0	10.584843267614383	0.5567214398461006	0.7002019192640356	1.7430766408898635	9.193079493582275E-4	-1235.5472493891407	-1198.623668538301	-1938.4908989730604	-88.02626775099031
23000	1.5646578279610852	-4723.110930494196	-347.55296952803104	-4375.5579609661645	25.654723456863174	348.93946472707853	927.8851487818234	26.88857541733346	11.630479749034478	6.904730065483199	1.0	1.0	6.0	6.0	6.0	11.941206973285997	0.6318088765805715	0.5508060102032023	1.8173851132162255	0.0011185837560082376	-1235.3152146419945	-1195.0940327963215	-1945.1487135278485	-86.8120741998218
24000	0.9711506639204741	-4709.636529586465	-339.7422474539869	-4369.894282132478	27.294319743915537	272.0738809729868	275.6100805877831	17.755214789520895	10.5706894403055	10.338995509739126	1.0	1.0	7.0	7.0	4.0	7.277706083426429	0.6041120896475949	0.6060871673714721	1.7898007429809324	0.001128964849282861	-1236.09026494342	-1195.324709754202	-1938.4793074348568	-82.7821666696504
