# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:42 BST 2015 [seed=1430153560927]
state	age(DUCK_VIETNAM_376_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
10000	1.349661069547004	-4742.163394075213	-365.32893210719476	-4376.834461968017	59.48647712421042	595.5132512892072	406.0125361875392	36.761319051058344	62.01006463876206	11.058105835973247	2.0	1.0	4.0	10.0	3.0	7.849217711336393	0.6073998710292074	0.6792729474389612	1.7133271815318312	4.0142270084802986E-4	-1235.6006654753996	-1192.0736222921685	-1949.1601742004495	-103.85554976158862
11000	0.7734341991516498	-4738.401159616133	-362.5106513067875	-4375.890508309345	44.91968174312119	861.7470341009456	191.95971263772648	80.61469991450068	61.90825519061167	39.78652635283584	2.0	3.0	3.0	7.0	5.0	8.0860957035417	0.5881816189740059	0.4704694328362069	1.941348948189787	5.52062475954288E-4	-1235.5024514898319	-1190.999400276524	-1949.3886565429889	-100.81811800794034
12000	0.5358092642935959	-4731.63542292751	-348.2187707006763	-4383.416652226834	31.34779299776907	1138.5282614740252	166.72713924266063	28.495966107518637	29.092586254403486	23.50907093087113	1.0	1.0	4.0	9.0	5.0	8.53654402313834	0.6240108965329706	0.5268282444768032	1.849160858990226	7.112857422745468E-4	-1238.7861741845416	-1198.7760939788611	-1945.8543840634313	-87.75794780499373
13000	0.49921474042096614	-4729.8324008776735	-355.0047302250306	-4374.827670652643	30.74252355080968	1958.725806573672	538.7231220781567	29.176159150932172	19.467902216616416	21.365379553452495	1.0	1.0	5.0	7.0	6.0	11.16807132407726	0.6240108965329706	0.5801936262349994	1.79579547723203	8.01934142142921E-4	-1237.1127796049982	-1193.8858293600103	-1943.829061687635	-92.44782612196033
14000	0.6849805666396669	-4731.576365323244	-351.98860854613986	-4379.587756777104	29.21573699108665	1449.6535528081445	959.4591625700585	63.33746868196916	17.145835826332956	15.689312048850592	2.0	1.0	2.0	14.0	1.0	6.793131650954596	0.5267207122016776	0.6774838105662924	1.79579547723203	8.897917246957734E-4	-1236.3518913759922	-1198.461189097168	-1944.7746763039436	-89.48580052405237
15000	1.0079961726745104	-4722.752887535677	-350.5787061191224	-4372.174181416554	30.5533639070474	1331.61025489286	239.91265333577272	206.0800930203044	21.24439911659769	13.435566691390237	1.0	3.0	1.0	13.0	2.0	8.303241382725044	0.6352356185789353	0.6570825372026238	1.707681844218441	8.6080998555146E-4	-1235.3311231642288	-1193.932024501455	-1942.9110337508707	-88.17596562376731
16000	0.8904532303426453	-4724.298775743367	-351.9609781688633	-4372.337797574503	36.10813828426797	1024.5885866946555	161.7751824002168	119.912955662253	31.963723395963882	25.938578923531175	1.0	1.0	2.0	14.0	2.0	8.870908641629061	0.6352356185789353	0.632475488849352	1.7322888925717126	6.884083750512471E-4	-1236.5255126485988	-1192.862178461563	-1942.9501064643416	-90.34084027582162
17000	0.902280279811734	-4722.864706142058	-347.6056550980087	-4375.25905104405	31.380187677719363	457.52422345644345	142.56978328352216	57.62588983775076	20.4008188844593	21.899840341987353	1.0	3.0	2.0	12.0	2.0	8.667833275027132	0.6352356185789353	0.632475488849352	1.7322888925717126	8.43012847111519E-4	-1237.5896103330933	-1198.7059127180878	-1938.9635279928684	-88.76318274796803
18000	0.5330979757348917	-4723.78604340101	-350.893455952458	-4372.892587448552	25.565764264059535	565.0425869551996	130.9296336908791	41.71707909169346	20.629975597111944	65.5177446431544	1.0	3.0	5.0	9.0	2.0	8.644970539659157	0.5748121954995395	0.5343433784694873	1.890844426030973	8.618306668783945E-4	-1234.8658762275868	-1190.7093171594267	-1947.3173940615386	-89.95113954151421
19000	0.7651630730182832	-4725.961004537488	-351.4312565275497	-4374.529748009939	34.31677401809267	857.482034747314	349.38061411025967	39.79907808970455	14.940139948045365	25.644934925935445	1.0	2.0	5.0	7.0	5.0	8.116082391706907	0.6476128022038178	0.48616782267381997	1.866219375122362	7.088199782482267E-4	-1237.102187976909	-1194.223594550095	-1943.203965482935	-90.71357780424002
20000	1.9567966667711139	-4732.0743281416435	-351.22942761170094	-4380.844900529943	31.5821220069651	1625.1134908671297	625.6551590229637	56.65213433699155	9.094345512486967	27.555212564156733	1.0	1.0	4.0	9.0	5.0	9.19445402415086	0.6476128022038178	0.48616782267381997	1.866219375122362	8.089009693035063E-4	-1237.1544292016092	-1197.1174413463884	-1946.5730299819456	-87.61627226496995
21000	0.2475432031798337	-4719.780045786922	-346.7033770545045	-4373.076668732418	30.72118354741873	680.1698573261779	274.552611788899	35.33274259890178	11.884029641807688	17.102535255031995	1.0	2.0	5.0	10.0	2.0	7.2935383419338224	0.5700778314919535	0.5840270192716824	1.8458951492363638	9.41144532511959E-4	-1235.4715879203684	-1196.2652540192425	-1941.3398267928073	-87.45023503395096
22000	0.1386314821757504	-4727.588177966124	-348.4888927631715	-4379.099285202952	28.036267664630017	277.69247744239277	446.6549748554096	38.24137143108657	20.176582606622173	16.051442023260496	1.0	4.0	4.0	10.0	1.0	9.055275563579816	0.6206369585207677	0.5894473301209519	1.78991571135828	0.0011121225036295269	-1236.4356186982018	-1200.383028778917	-1942.2806377258337	-89.00655172980585
23000	0.0738420772657904	-4722.985137350911	-347.3990458649107	-4375.586091486	29.91938550684348	139.21234717009247	249.06336457503627	21.44969268604876	8.548727409279293	29.688708411172815	4.0	1.0	3.0	8.0	4.0	11.445408191767807	0.5498117228949688	0.6284138192937914	1.8217744578112394	0.0010016237613167073	-1236.1283494571087	-1199.0532518241416	-1940.4044902047497	-88.35510768063702
