# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:13 BST 2015 [seed=1430153532166]
state	age(HUMAN_VIETNAM_CL105_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
0	-0.0	-7482.437097910189	-363.75210933693546	-7118.684988573254	57.23468734328573	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0E-4	-1685.8083475895314	-1561.3620878243025	-3871.5145531594203	-107.58346686416148
1000	1.7729232506797656	-5417.030854969569	-362.88935059024345	-5054.141504379326	46.53528499805152	353.8446036967051	114.09355070741412	63.84700774361816	66.98428232348441	31.479039809049244	5.0	6.0	1.0	1.0	7.0	1.7897678653722535	0.6243643777539591	0.3135301805308212	2.0621054417152194	7.416731044548238E-4	-1376.2528949070459	-1296.7732989293272	-2381.1153105429535	-104.81194722808969
2000	1.748582950638816	-4786.98197823235	-362.23422142611264	-4424.747756806238	54.751137105657605	500.40699990094	60.40867265684712	93.41173929432297	49.79809736781981	44.971884317772826	3.0	5.0	3.0	2.0	7.0	3.282481082413061	0.648002913886069	0.5101759705136846	1.8418211156002462	5.783816815275818E-4	-1247.9895119368641	-1209.7990691701864	-1966.9591756991872	-102.70690592997218
3000	2.9779657072256382	-4737.074541053234	-358.00656489058474	-4379.067976162649	38.52875177605491	499.26674299518834	132.46945102001325	131.0080016675945	30.140789317238387	39.638611867595905	1.0	6.0	1.0	1.0	11.0	9.164924707133236	0.6601768803973771	0.6325125858934635	1.7073105337091594	6.075664859843542E-4	-1236.2164751171283	-1196.4369368040743	-1946.4145642414458	-97.13942184080331
4000	3.8718330765812485	-4729.3112813720945	-349.7291503005912	-4379.582131071504	34.024279204979564	378.9231877438323	129.95376175685965	141.7358328038876	29.846537548222145	19.132097318347775	1.0	3.0	2.0	2.0	12.0	8.77134121409043	0.5141855142450483	0.6743224408585666	1.811492044896385	7.635926400693751E-4	-1238.9510952925134	-1197.0944245779308	-1943.5366112010602	-89.92205845438345
5000	2.1029616748154116	-4728.488176536876	-354.99265698160724	-4373.495519555269	36.64037740920532	291.33238615349467	142.2706974930184	186.27227702999892	20.06827389524913	32.19474374696208	3.0	1.0	1.0	2.0	13.0	10.879443253174735	0.5865218165107725	0.5281271828207276	1.8853510006684995	7.349937961462243E-4	-1236.542362189465	-1194.366633139396	-1942.5865242264078	-94.30463916599182
6000	4.371009910623349	-4734.974850785569	-352.7972188179053	-4382.177631967664	35.63037891976305	425.39976483611224	98.49639089408967	133.69340793635905	29.92501862540379	26.27653194615802	2.0	1.0	2.0	2.0	13.0	7.16693190079308	0.505144288200092	0.5602972276361419	1.9345584841637655	7.875694315126361E-4	-1239.9629017393856	-1196.23413902525	-1945.9805912030279	-92.88811535009565
7000	1.8388548083771916	-4729.228275279653	-351.66228244946154	-4377.565992830191	34.90572861803526	708.1307759394944	304.6267421743084	158.69008476251315	71.04121181780795	26.187837624413287	1.0	1.0	1.0	1.0	16.0	8.624901570663292	0.496287472892159	0.5987123082208354	1.9050002188870052	8.247713550606004E-4	-1239.9255590572404	-1196.4028267582903	-1941.2376070146604	-89.30714284130514
8000	4.7047030391367635	-4728.584185822425	-352.5631582997471	-4376.021027522678	31.63646363079443	1140.1134610233114	325.8474266570829	60.95692079172298	48.120792806990266	14.837652805853162	1.0	1.0	3.0	2.0	13.0	6.9194669164056615	0.6708591885126812	0.5259093832965716	1.803231428190747	7.618924067446097E-4	-1233.563442356109	-1197.458009078407	-1944.9995760881623	-90.95159373936757
9000	3.118574152252041	-4729.461603063048	-352.59571818763686	-4376.865884875411	31.85235098660392	2128.4778589191933	362.75516927178916	49.61174434499485	65.54386524906755	21.44710205610494	1.0	2.0	2.0	3.0	12.0	8.553412596855264	0.512797706479003	0.556502205214972	1.930700088306025	7.977948824370349E-4	-1237.8602390027283	-1198.4274973767958	-1940.578148495887	-88.92833172965672
10000	2.4971119618472244	-4724.424522996431	-349.09292558802423	-4375.331597408406	34.406649082073976	709.7406770952355	190.53672093278044	93.78252982217944	104.15562478689351	20.881621214254384	1.0	1.0	1.0	3.0	14.0	10.341040098058784	0.4944142521238717	0.5788694498044072	1.9267162980717207	7.816791718415979E-4	-1237.6957089575671	-1194.6909466185314	-1942.9449418323072	-86.86003253455634
11000	0.5653635336879883	-4730.542959478841	-356.57438948017614	-4373.968569998665	30.763865906968324	1588.6511544904806	186.24986246320069	180.69698719245946	238.3545092180412	36.3503523691336	1.0	1.0	1.0	1.0	16.0	7.942959062349521	0.4944142521238717	0.5029339366694466	2.002651811206681	8.47929748459277E-4	-1235.6098074256574	-1196.6717697210186	-1941.686992851989	-91.04563029113352
12000	1.4365129824767169	-4739.872161908988	-355.62301912728185	-4384.249142781707	30.843367147373364	2350.64457207849	62.76814576984153	170.95545889782116	228.48912471792192	20.733287314963185	1.0	1.0	1.0	1.0	16.0	11.743223839580702	0.7173794615816497	0.5401207178538878	1.742499820564462	8.720260943638312E-4	-1241.5992523408033	-1197.875268377308	-1944.7746220635954	-88.48641700051616
13000	1.355374697774603	-4713.032002898712	-343.7564338279584	-4369.275569070754	32.7201103823372	383.7893671908565	170.0330672613566	74.04884235629328	60.6036452812462	18.66491055228299	1.0	1.0	1.0	1.0	16.0	9.494474729470273	0.5233804934470296	0.5590294884149373	1.9175900181380323	9.153588525700739E-4	-1235.994706690791	-1198.3951149102006	-1934.885747469762	-83.7970083980884
14000	2.715425631698581	-4718.664733178428	-342.97929901182044	-4375.685434166608	30.396655066095406	498.38939426469636	130.40979709604187	49.431424834946235	67.78229376891247	15.938189478487047	1.0	1.0	3.0	1.0	14.0	8.499016946701255	0.7075513675334694	0.5440503849318014	1.7483982475347286	9.83548588888648E-4	-1236.6627008808398	-1199.1637811542878	-1939.8589521314798	-82.9234204951765
15000	4.150047652857215	-4733.181202017885	-354.2108530912362	-4378.9703489266485	31.040339288602667	1970.9765993580108	452.13678091614526	67.08629991563873	21.152191002672662	20.13971828146051	1.0	2.0	2.0	1.0	14.0	8.28118292007144	0.5431555962400826	0.4220062284460242	2.0348381753138924	8.371338911739613E-4	-1236.154170909973	-1198.0512424481572	-1944.7649355685187	-91.64887542871298
16000	2.538863059962484	-4734.274588905269	-357.15370274194515	-4377.120886163324	30.539420776243674	2613.099513232018	315.8801304133033	50.45887262458705	54.05330245854318	33.57725637512095	1.0	1.0	2.0	3.0	13.0	7.739742241403733	0.49103491116818887	0.7183198857120675	1.790645203119743	8.356336605891281E-4	-1233.848094126494	-1198.6703300309894	-1944.6024620058402	-93.4727017006552
17000	1.8480085043341177	-4726.135134848663	-351.7922206733235	-4374.3429141753395	33.44422810585186	1194.8820232819673	173.84944746064744	40.96584940248791	49.579886195010985	34.158346385674406	1.0	2.0	2.0	2.0	13.0	10.669319409271937	0.49103491116818887	0.6346086001743567	1.8743564886574537	9.484557548472174E-4	-1235.9851062986816	-1198.594669403472	-1939.7631384731856	-89.93985573481538
18000	0.23789024319016816	-4719.094712271848	-349.39757587717486	-4369.697136394673	30.115515166407295	1617.8695435397576	189.14402216468952	78.7345435283569	33.56316837787956	19.88639030079952	1.0	1.0	3.0	1.0	14.0	10.227028923537203	0.6696659728862029	0.5654245337671834	1.7649094933466132	8.830605213075814E-4	-1236.1513450098935	-1195.5404744312725	-1938.0053169535072	-87.36231554029354
19000	0.8211826572974072	-4735.222205835101	-357.5851316301927	-4377.6370742049085	38.32430471869147	554.389699065381	344.88738011961533	46.37114209944565	46.951775352485974	45.129691731075496	1.0	2.0	5.0	2.0	10.0	8.277218101117768	0.5070453679172444	0.5941847595100107	1.8987698725727444	6.905304546657555E-4	-1234.4397472310445	-1196.0457670589003	-1947.1515599149634	-96.31809371569646
20000	0.11168167750695113	-4732.450343038712	-355.6709772457916	-4376.7793657929205	31.316303812432192	456.1693852440024	132.51579320587518	80.838768834323	84.09232753681046	28.813047445236087	1.0	1.0	6.0	1.0	11.0	7.648786080530222	0.5111000072320547	0.5941847595100107	1.8947152332579342	7.516949576694057E-4	-1235.512411485767	-1195.8308507043514	-1945.436103602802	-95.13770729117167
21000	0.4380226316535638	-4718.72963403334	-348.29844873740615	-4370.431185295934	31.47085687761994	312.6892607706161	154.4967437531995	35.03775436064795	33.1224427847355	23.29594014431363	1.0	1.0	9.0	6.0	3.0	12.367988365775764	0.5648271885037484	0.5634345401604832	1.8717382713357682	8.486203476948416E-4	-1234.4773877505588	-1194.7986360394577	-1941.1551615059172	-89.5680573252367
22000	2.921531751431802	-4719.699861901666	-346.3770022335327	-4373.322859668133	30.721846470782033	513.144188655203	84.39936258515017	44.29342857273878	22.281974247478924	6.557697535407597	1.0	3.0	9.0	4.0	3.0	8.018708123399945	0.547140287354291	0.5045126208709251	1.9483470917747836	8.437773203366755E-4	-1236.343773262553	-1197.3496642431796	-1939.6294221624007	-88.73878631861433
23000	0.29526959654312024	-4723.202353456707	-350.0182733064961	-4373.184080150211	33.21502801416063	259.55225586906556	50.14253920332267	15.717885702175181	28.844179680714827	19.379538280695645	2.0	11.0	3.0	2.0	2.0	8.103246096986336	0.6512353954037309	0.5312075437126922	1.8175570608835765	7.473865988067198E-4	-1233.5860583815218	-1194.9640236538605	-1944.6339981148292	-93.50436494403588
24000	3.8774462245105767	-4712.848534799676	-337.93320961463905	-4374.915325185037	24.569471853318174	110.24959871814407	58.143777227392356	10.727173003277152	17.08259198304696	9.711105842535694	1.0	4.0	7.0	3.0	5.0	9.504377082888913	0.685444010441995	0.5203404134262173	1.7942155761317873	9.787392348754107E-4	-1233.8789646767975	-1200.25065286544	-1940.7857076427995	-83.87087878194949
25000	1.103607173568548	-4714.321001944991	-336.62150924510627	-4377.699492699884	25.997147718983737	147.67300291501832	22.54009355021329	12.481779492473555	11.273812099981827	30.294979363335962	3.0	2.0	7.0	2.0	6.0	6.884041341489996	0.641743847358115	0.5557104185594713	1.8025457340824134	0.0011252680004780818	-1236.1943007240232	-1194.176891493675	-1947.3283004821863	-82.08493021520303
26000	2.4840831858435197	-4726.381740808691	-342.6127292872465	-4383.769011521445	26.357853648911895	146.09118997084636	20.4135359036729	17.897273637405487	44.51901803004364	10.345583220396286	3.0	2.0	4.0	9.0	2.0	10.670519875897304	0.4422291474527513	0.5832220891320614	1.974548763415187	0.0010578901610440886	-1243.5817470611958	-1200.430048330511	-1939.7572161297378	-86.58518249060651
27000	3.265435862590781	-4712.161790440538	-334.35485388230256	-4377.806936558236	25.12475399474144	85.14527264349174	14.709137840511547	12.24607261936933	26.22147676674849	11.917819644890011	6.0	1.0	8.0	3.0	2.0	8.359098778831113	0.5166601035258759	0.675647667133833	1.8076922293402908	0.0011757959104983584	-1233.9237117393607	-1199.5953069091997	-1944.2879179096758	-81.02299988252477
28000	2.645876708972736	-4711.060175430853	-336.42942389461444	-4374.630751536239	23.763906127501727	367.4482247857263	42.78678142006289	16.079681413312432	15.416469609946294	5.323720608058559	3.0	4.0	6.0	4.0	3.0	8.051825206992604	0.519313030338584	0.5465235487217269	1.9341634209396885	0.0011377158712623855	-1240.7433591326464	-1194.6669735360151	-1939.2204188675767	-81.20629481578717
29000	1.5720451716413093	-4705.872456046311	-330.96720198035985	-4374.90525406595	19.470737516663977	421.240680974467	91.47291655612179	8.624081437045152	11.59998406439154	6.064235641972704	1.0	3.0	9.0	5.0	2.0	7.242460076713106	0.5499153281074799	0.449391986102502	2.000692685790017	0.0012672160242132974	-1236.8065991638825	-1198.8569756925663	-1939.2416792095016	-75.34143796117012
30000	1.6174348370239113	-4700.396773244621	-327.4338673872637	-4372.962905857357	23.473173305727638	423.5591670396007	60.79739559237521	4.595584777476471	13.109054135281287	3.8442682372918693	1.0	1.0	4.0	11.0	3.0	9.199041959521633	0.5170426493629938	0.449391986102502	2.0335653645345033	0.0011556393062749928	-1236.3751318192813	-1196.8456634662236	-1939.7421105718522	-71.28801313614883
31000	1.8347862622066664	-4707.180165433155	-336.7932549463674	-4370.386910486787	21.67230207799092	387.6820715700409	169.15324017025395	23.068115927375327	10.580665658428064	11.805571820696445	1.0	1.0	6.0	10.0	2.0	9.547964825698033	0.572228554086165	0.4486721585471209	1.979099287366713	0.001249255167543354	-1234.4851655301065	-1196.5803466033806	-1939.3213983532999	-79.58262917062991
32000	0.17386645197272532	-4711.611550892745	-337.2611113906531	-4374.350439502092	22.8575544011775	99.63151464904095	10.323914554040886	23.303600536795	10.575199503176536	2.726248190671323	2.0	1.0	7.0	9.0	1.0	9.53176062916574	0.5291770359451466	0.5024901083642834	1.9683328556905688	0.0011723098794594957	-1235.4345025817838	-1196.8976099958973	-1942.0183269244108	-84.63097004693563
33000	0.3473188248476092	-4707.821650254591	-335.5717902419633	-4372.249860012627	20.810100427002574	81.05454276243137	18.62740356289793	34.74424860695876	9.157319620367378	28.574986417496216	1.0	5.0	1.0	8.0	5.0	9.257203777803678	0.5810517801198535	0.43828322707074097	1.9806649928094044	0.0012952686731117827	-1233.1205931114628	-1196.8376873817167	-1942.2915795194472	-80.1313807269808
34000	0.4780903591233222	-4703.326786342096	-333.79904822152815	-4369.527738120568	22.47944463024419	254.42744750369593	12.38187404399742	14.924719210244838	11.110535650294114	5.922280497135723	2.0	4.0	3.0	10.0	1.0	6.437912139821912	0.6271046314597971	0.5305522165157742	1.8423431520244276	0.0011676522501995715	-1232.605527698085	-1194.1027999840921	-1942.8194104383904	-80.44165155497349
35000	1.3786315286920972	-4715.065071523208	-339.36047220732814	-4375.70459931588	29.44724398096915	168.360580908981	46.969771797920934	11.319324010036844	15.84121220354711	4.666992902680241	3.0	6.0	5.0	3.0	3.0	8.145339338511747	0.6128406778964289	0.5856125364822253	1.8015467856213445	0.0010302620213543028	-1234.7539731489758	-1195.2349022011863	-1945.715723965718	-85.49960085567118
36000	0.579822907019836	-4697.628087155845	-327.8740432470934	-4369.754043908752	20.045146850008496	203.92614214116233	14.050367237686268	13.470662727345648	2.4865386951172037	7.613513034765324	1.0	1.0	10.0	1.0	7.0	9.005301332294849	0.5348985995866129	0.5638145462741105	1.9012868541392753	0.0012975746199827885	-1234.8931425863643	-1190.0887039573654	-1944.7721973650216	-74.35402887112994
37000	0.579822907019836	-4698.30918324235	-330.49413641697845	-4367.815046825372	19.788112678115564	199.01604742742725	15.412663987051808	19.183396654629355	8.09942208864957	4.624639122476085	3.0	2.0	12.0	1.0	2.0	9.226766716740501	0.6370429185942057	0.5002013078880999	1.8627557735176932	0.001319222922159146	-1234.5172889134935	-1193.2803796186922	-1940.0173782931859	-77.33043037904463
38000	0.4897353455038481	-4702.387036133091	-327.9507707306445	-4374.436265402446	18.886859338178088	295.5307770218647	37.45213653031276	23.7383631437855	12.02596422355795	9.308427334538303	1.0	1.0	10.0	5.0	3.0	6.60727735611586	0.6896726675772038	0.5020778796309214	1.8082494527918735	0.0015664902054605089	-1238.0793338749288	-1195.382536908113	-1940.9743946194048	-73.10812706763932
